prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,TAUTOG,19893498306we,111411989060311828,0,C,5,,2,1,11,11,Y,30,75,,3,1114119890603022,828,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890603,06,we,,,1114119890603022,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1615,06320,8,56,2102.4228279,19893498306we,,0,1114119890603022
,TAUTOG,19893498306we,111411989060311828,1,C,5,,2,1,11,11,Y,3,20,,2,1114119890603023,828,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890603,06,we,,,1114119890603023,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1630,06385,8,13,2102.4228279,19893498306we,,0,1114119890603023
,WINTER FLOUNDER,19893498306wd,111411989061211646,3,C,5,,3,0,11,11,Y,3,25,,2.5,1114119890612002,646,5,3,0,0,1,,,,4,9,9,4,1,3,1989,1114119890612,06,wd,,,1114119890612001,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1500,06320,8,8,4186.490855,19893498306wd,,0,1114119890612001
,WINTER FLOUNDER,19893498305wd,11141198905259289,1,C,5,,1,1,9,9,Y,12,175,,2,1114119890525005,289,1,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525005,2,1,0,8,1,,,12JUN91:16:07,8,1,1,,,,8857042001,,1,88,8,1405,06413,8,62,11132.193452,19893498305wd,,0,1114119890525005
,BLUEBACK HERRING,19893498306wd,11141198906011130,0.5,C,5,,1,4,1,1,Y,,,,2,1114119890601005,130,1,3,0,11,0,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601005,2,31,0,8,9,,,12JUN91:16:07,8,2,1,,,,8747010102,,1,88,2,1230,06497,8,65,11132.193452,19893498306wd,,0,1114119890601005
,BLUEFISH,19893498306wd,1114219890623189,1,C,5,,1,3,1,1,Y,0,10,,3,1114219890623001,89,2,3,0,4,0,,,,4,9,9,4,1,3,1989,1114219890623,06,wd,,,1114219890623001,2,4,0,8,9,,,12JUN91:16:07,8,2,1,,,,8835250101,,1,88,2,1825,06430,8,73,4186.490855,19893498306wd,,0,1114219890623001
,BLUEFISH,19893498306wd,1114119890623192,2,C,5,,1,1,1,1,Y,20,40,,2,1114119890623012,92,5,3,1,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623012,2,0,3,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1715,06605,8,57,4186.490855,19893498306wd,,0,1114119890623012
,BLUEBACK HERRING,19893498306wd,11141198906011130,0.5,C,5,,3,0,1,1,Y,,,,2,1114119890601006,130,1,3,0,0,1,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601005,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8747010102,,1,88,8,1230,06497,8,65,11132.193452,19893498306wd,,0,1114119890601005
,WINTER FLOUNDER,19893498305wd,11141198905259289,1,C,5,,1,1,9,9,Y,12,100,,1.5,1114119890525004,289,1,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525004,2,1,0,8,1,,,12JUN91:16:07,8,1,1,,,,8857042001,,1,88,8,1400,06437,8,52,11132.193452,19893498305wd,,0,1114119890525004
,WINTER FLOUNDER,19893498306we,111411989062511661,3,C,5,,2,1,11,11,Y,,,,2.5,1114119890625021,661,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890625,06,we,,,1114119890625021,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1615,06340,8,99,5590.5001228,19893498306we,,0,1114119890625021
WINTER FLOUNDER,TAUTOG,19893498306we,111441989061011660,4,C,5,,1,1,11,11,Y,7,150,,3,1114419890610001,660,5,3,1,2,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610001,2,,,8,1,,,12JUN91:16:07,8,1,1,,,,8839010101,8857042001,1,88,8,1435,06320,8,39,5590.5001228,19893498306we,,0,1114419890610001
WINTER FLOUNDER,TAUTOG,19893498306we,111441989061011660,4,C,5,,1,1,11,11,Y,3,150,,3,1114419890610002,660,5,3,2,3,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610002,2,,,8,9,,,12JUN91:16:07,8,1,1,,,,8839010101,8857042001,1,88,8,1435,06320,8,30,5590.5001228,19893498306we,,0,1114419890610002
,WINTER FLOUNDER,19893498305wd,11141198905259287,1,C,5,,2,1,9,9,Y,3,150,,3,1114119890525001,287,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525001,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1330,06443,8,48,11132.193452,19893498305wd,,0,1114119890525001
TAUTOG,WINTER FLOUNDER,19893498306we,111441989061011660,2,C,5,,2,1,11,11,Y,0,3,,2.5,1114419890610005,660,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610005,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,8839010101,1,88,8,1514,06320,8,25,5590.5001228,19893498306we,,0,1114419890610005
,TAUTOG,19893498306wd,1114119890601192,0.5,C,5,,1,2,1,1,Y,3,60,,2.5,1114119890601003,92,5,3,0,5,0,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601003,2,5,0,8,1,,,12JUN91:16:07,8,2,1,,,,8839010101,,1,88,2,1145,06606,8,35,4186.490855,19893498306wd,,0,1114119890601003
,BLUEFISH,19893498306wd,11142198906019297,0,C,5,,2,1,9,9,Y,1,30,,2.5,1114219890601003,297,2,3,0,0,0,,,,4,9,9,4,1,3,1989,1114219890601,06,wd,,,1114219890601003,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1317,06401,8,32,4186.490855,19893498306wd,,0,1114219890601003
,WINTER FLOUNDER,19893498306we,111431989061011657,1,C,5,,1,1,11,11,Y,3,3,,2.5,1114319890610072,657,1,3,2,1,0,,,,4,9,9,4,1,3,1989,1114319890610,06,we,,,1114319890610072,2,,,8,9,,,12JUN91:16:07,8,1,1,,,,8857042001,,1,88,8,1543,06320,8,31,5590.5001228,19893498306we,,0,1114319890610072
BLUEBACK HERRING,STRIPED BASS,19893498306wd,11142198906019297,1,C,5,,1,1,9,9,Y,0,15,,3,1114219890601004,297,2,3,1,0,0,,,,4,9,9,4,1,3,1989,1114219890601,06,wd,,,1114219890601004,2,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835020102,8747010102,1,88,8,1320,06401,8,38,4186.490855,19893498306wd,,0,1114219890601004
,WINTER FLOUNDER,19893498306we,111411989062511661,3,C,5,,2,1,11,11,Y,,,,2.5,1114119890625020,661,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890625,06,we,,,1114119890625020,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1610,06340,8,99,5590.5001228,19893498306we,,0,1114119890625020
TAUTOG,WINTER FLOUNDER,19893498306we,111441989061011660,4,C,5,,1,1,11,11,Y,13,20,,5,1114419890610003,660,5,3,1,0,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610003,2,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,8839010101,1,88,8,1452,99998,8,19,5590.5001228,19893498306we,,0,1114419890610003
,WINTER FLOUNDER,19893498306we,111411989062511661,3,C,5,,2,1,11,11,Y,,,,2.5,1114119890625019,661,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890625,06,we,,,1114119890625019,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1610,06340,8,99,5590.5001228,19893498306we,,0,1114119890625019
,,19893498306we,111431989061011604,0,C,5,,1,1,11,3,Y,0,0,,2,1114319890610092,604,5,3,0,2,0,,,,4,9,9,4,1,3,1989,1114319890610,06,we,,,1114319890610092,2,4,0,8,9,,,12JUN91:16:07,8,1,1,,,,,,1,88,8,1117,06051,8,31,5590.5001228,19893498306we,,0,1114319890610092
,BLUEFISH,19893498306wd,1114119890623192,0,C,5,,2,1,1,1,Y,10,75,,3,1114119890623011,92,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623011,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1710,06880,8,53,4186.490855,19893498306wd,,0,1114119890623011
,WINTER FLOUNDER,19893498306wd,111411989061211646,3,C,5,,1,2,11,11,Y,3,25,,2.5,1114119890612001,646,5,3,0,2,0,,,,4,9,9,4,1,3,1989,1114119890612,06,wd,,,1114119890612001,2,2,0,8,1,,,12JUN91:16:07,8,2,1,,,,8857042001,,1,88,2,1500,06320,8,36,4186.490855,19893498306wd,,0,1114119890612001
,WINTER FLOUNDER,19893498305wd,11150198905199213,1,C,5,,2,1,9,9,Y,10,20,,2,1115019890519001,213,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1115019890519,05,wd,,,1115019890519001,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1200,06460,8,65,11132.193452,19893498305wd,,0,1115019890519001
,WINTER FLOUNDER,19893498305wd,11141198905259289,1,C,5,,1,1,9,9,Y,3,100,,1.5,1114119890525006,289,1,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525006,2,1,0,8,1,,,12JUN91:16:07,8,1,1,,,,8857042001,,1,88,8,1415,06413,8,62,11132.193452,19893498305wd,,0,1114119890525006
,STRIPED BASS,19893498306wd,11142198906019297,0,C,5,,2,1,9,1,Y,3,45,,2,1114219890601001,297,2,3,0,0,0,,,,4,9,9,4,1,3,1989,1114219890601,06,wd,,,1114219890601001,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8835020102,,1,88,8,1300,06791,8,26,4186.490855,19893498306wd,,0,1114219890601001
,WINTER FLOUNDER,19893498305wd,11141198905259287,1,C,5,,2,1,9,9,Y,0,10,,3,1114119890525003,287,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525003,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1330,06443,8,73,11132.193452,19893498305wd,,0,1114119890525003
,BLUEFISH,19893498306wd,1114119890623192,0,C,5,,2,1,1,1,Y,5,45,,3,1114119890623010,92,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623010,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1700,06605,8,43,4186.490855,19893498306wd,,0,1114119890623010
,TAUTOG,19893498306wd,1114119890623164,1,C,5,,2,1,1,1,Y,0,10,,2,1114119890623005,64,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623005,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1435,06905,8,25,4186.490855,19893498306wd,,0,1114119890623005
,BLUEFISH,19893498306wd,11141198906307440,0,C,5,,2,1,7,3,Y,4,40,,7,1114119890630001,440,3,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890630,06,wd,,,1114119890630001,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1105,06450,8,26,4186.490855,19893498306wd,,0,1114119890630001
,TAUTOG,19893498306wd,1114119890623176,1,C,5,,1,2,1,79,O,10,30,,2.5,1114119890623001,76,5,3,0,9,0,,,,5,9,36,4,1,3,1989,1114119890623,06,wd,,,1114119890623001,2,9,0,8,9,,,12JUN91:16:07,8,2,1,,,,8839010101,,1,88,2,1310,99998,8,53,18468.50491,19893498306wd,,0,1114119890623001
,BLUEBACK HERRING,19893498306wd,11141198906011130,0.5,C,5,,3,0,1,1,Y,,,,2,1114119890601008,130,1,3,0,0,1,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601005,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8747010102,,1,88,8,1235,06497,8,65,11132.193452,19893498306wd,,0,1114119890601005
,TAUTOG,19893498306wd,1114119890601176,1,C,5,,3,0,1,71,O,3,10,,3.5,1114119890601002,76,5,3,0,0,1,,,,5,9,36,4,1,3,1989,1114119890601,06,wd,,,1114119890601001,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1035,02550,8,56,18468.50491,19893498306wd,,0,1114119890601001
,TAUTOG,19893498306wd,1114119890623176,1,C,5,,3,0,1,79,O,10,30,,2.5,1114119890623002,76,5,3,0,0,1,,,,5,9,36,4,1,3,1989,1114119890623,06,wd,,,1114119890623001,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1310,99998,8,49,18468.50491,19893498306wd,,0,1114119890623001
,TAUTOG,19893498306we,111431989061011646,0,C,5,,1,1,11,3,Y,4,11,,4,1114319890610002,646,5,3,1,1,0,,,,4,9,9,4,1,3,1989,1114319890610,06,we,,,1114319890610002,2,1,0,8,1,,,12JUN91:16:07,8,1,1,,,,8839010101,,1,88,8,1335,06033,8,23,2102.4228279,19893498306we,,0,1114319890610002
WINTER FLOUNDER,TAUTOG,19893498306we,111431989061011657,4,C,5,,1,1,11,13,O,2,17,,6,1114319890610071,657,5,3,3,0,0,,,,4,9,25,4,1,3,1989,1114319890610,06,we,,,1114319890610071,2,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,8857042001,1,88,8,1540,01109,8,31,9274.7381197,19893498306we,,0,1114319890610071
,BLUEFISH,19893498306wd,1114119890623164,1,C,5,,2,1,1,1,Y,0,10,,2,1114119890623004,64,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623004,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1435,06905,8,26,4186.490855,19893498306wd,,0,1114119890623004
,BLUEFISH,19893498306wd,1114119890623192,1,C,5,,2,1,1,1,Y,10,90,,2,1114119890623006,92,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623006,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1620,06604,8,43,4186.490855,19893498306wd,,0,1114119890623006
,WINTER FLOUNDER,19893498305wd,11141198905259287,1,C,5,,2,1,9,9,Y,0,2,,3,1114119890525002,287,1,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890525,05,wd,,,1114119890525002,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1335,06443,8,7,11132.193452,19893498305wd,,0,1114119890525002
,BLUEFISH,19893498306we,111411989062511661,1,C,5,,2,1,11,11,Y,5,25,,3,1114119890625023,661,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890625,06,we,,,1114119890625023,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1620,06357,8,46,5590.5001228,19893498306we,,0,1114119890625023
,BLUEFISH,19893498306wd,1114119890623192,1,C,5,,1,1,1,1,Y,7,60,,2.5,1114119890623007,92,5,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623007,2,1,0,8,9,,,12JUN91:16:07,8,1,1,,,,8835250101,,1,88,8,1630,06604,8,35,4186.490855,19893498306wd,,0,1114119890623007
,BLUEFISH,19893498306wd,11141198906307440,0,C,5,,2,1,7,3,Y,5,14,,4,1114119890630002,440,3,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890630,06,wd,,,1114119890630002,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1115,06108,8,30,4186.490855,19893498306wd,,0,1114119890630002
,TAUTOG,19893498306wd,1114119890601176,1,C,5,,1,2,1,71,O,3,10,,3.5,1114119890601001,76,5,3,0,6,0,,,,5,9,36,4,1,3,1989,1114119890601,06,wd,,,1114119890601001,2,5,0,8,9,,,12JUN91:16:07,8,2,1,,,,8839010101,,1,88,2,1030,02550,8,51,18468.50491,19893498306wd,,0,1114119890601001
,WINTER FLOUNDER,19893498306wd,11141198906307440,0.5,C,5,,2,1,7,5,Y,4,15,,3,1114119890630003,440,3,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890630,06,wd,,,1114119890630003,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1120,06786,8,52,4186.490855,19893498306wd,,0,1114119890630003
,TAUTOG,19893498306we,111411989060311828,0,C,5,,1,1,11,11,Y,20,75,,3,1114119890603021,828,5,3,0,1,0,,,,4,9,9,4,1,3,1989,1114119890603,06,we,,,1114119890603021,2,1,0,8,9,,,12JUN91:16:07,8,1,1,,,,8839010101,,1,88,8,1615,06320,8,41,2102.4228279,19893498306we,,0,1114119890603021
TAUTOG,WINTER FLOUNDER,19893498306we,111441989061011660,5,C,5,,2,1,11,11,Y,15,127,,3.5,1114419890610004,660,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610004,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,8839010101,1,88,8,1456,06380,8,35,5590.5001228,19893498306we,,0,1114419890610004
,BLUEFISH,19893498306wd,1114119890623192,1.5,C,5,,2,1,1,1,Y,1,70,,1.5,1114119890623008,92,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623008,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1640,06605,8,30,4186.490855,19893498306wd,,0,1114119890623008
,TAUTOG,19893498306wd,1114119890623176,2,C,5,,2,1,1,1,Y,1,5,,1.5,1114119890623003,76,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623003,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1320,06636,8,40,11132.193452,19893498306wd,,0,1114119890623003
,,19893498306we,111431989061011604,0,C,5,,2,1,11,3,Y,2,3,,2,1114319890610091,604,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114319890610,06,we,,,1114319890610091,,,,8,1,,,12JUN91:16:07,8,8,1,,,,,,1,88,8,1117,06051,8,31,5590.5001228,19893498306we,,0,1114319890610091
ATLANTIC MENHADEN,BLUEFISH,19893498306we,11141198906179263,1,C,5,,1,1,9,9,Y,8,40,,2.5,1114119890617016,263,1,3,1,0,0,,,,4,9,9,4,1,3,1989,1114119890617,06,we,,,1114119890617016,2,0,3,8,1,,,12JUN91:16:07,8,8,1,,,,8835250101,8747010401,1,88,8,1740,06405,8,64,2102.4228279,19893498306we,,0,1114119890617016
,TAUTOG,19893498306wd,1114119890601192,0.5,C,5,,3,0,1,1,Y,1,80,,2.5,1114119890601004,92,5,3,0,0,1,,,,4,9,9,4,1,3,1989,1114119890601,06,wd,,,1114119890601003,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8839010101,,1,88,8,1145,06606,8,30,4186.490855,19893498306wd,,0,1114119890601003
,BLUEFISH,19893498306wd,1114119890623192,0,C,5,,1,1,1,1,Y,2,60,,3,1114119890623009,92,5,3,1,1,0,,,,4,9,9,4,1,3,1989,1114119890623,06,wd,,,1114119890623009,2,0,10,8,1,,,12JUN91:16:07,8,1,1,,,,8835250101,,1,88,8,1650,06605,8,36,4186.490855,19893498306wd,,0,1114119890623009
TAUTOG,WINTER FLOUNDER,19893498306we,111441989061011660,2,C,5,,2,1,11,11,Y,0,3,,2.5,1114419890610006,660,5,3,0,0,0,,,,4,9,9,4,1,3,1989,1114419890610,06,we,,,1114419890610006,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,8839010101,1,88,8,1514,06320,8,14,5590.5001228,19893498306we,,0,1114419890610006
,BLUEFISH,19893498606wd,111431989062311800,0,C,5,,3,0,11,11,Y,1,12,,3.5,1114319890623016,800,6,6,0,0,1,,,,4,9,9,4,1,3,1989,1114319890623,06,wd,,,1114319890623016,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1820,06385,8,41,130.05083355,19893498606wd,,0,1114319890623013
,WINTER FLOUNDER,19893498606we,111411989060411800,0,C,5,,2,1,11,3,Y,3,10,,4,1114119890604008,800,6,6,0,0,0,,,,4,9,9,4,1,3,1989,1114119890604,06,we,,,1114119890604008,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1145,06106,8,67,50.979535937,19893498606we,,0,1114119890604008
,BLUEFISH,19893498606we,111411989061811663,0,C,5,,3,0,11,3,Y,0,2,,6,1114119890618004,663,6,6,0,0,1,,,,4,9,9,4,1,3,1989,1114119890618,06,we,,,1114119890618004,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1435,06106,8,48,53.12982088,19893498606we,,0,1114119890618003
,BLUEFISH,19893498606we,111411989061811663,0,C,5,,1,2,11,13,O,0,0,,6,1114119890618010,663,6,6,0,1,0,,,,,9,20,4,1,3,1989,1114119890618,06,we,,,1114119890618010,1,4,0,8,9,,,12JUN91:16:07,8,2,1,,,,8835250101,,1,88,2,1530,99998,8,53,79.224896735,19893498606we,,0,1114119890618010
,BLUEFISH,19893498606we,111411989061811663,0,C,5,,1,1,11,41,O,40,150,,6,1114119890618009,663,6,6,2,0,0,,,,2,9,6,4,2,3,1989,1114119890618,06,we,,,1114119890618009,1,0,2,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1520,04903,8,43,79.224896735,19893498606we,,0,1114119890618009
,BLUEFISH,19893498606we,111411989061811663,0,C,5,,2,1,11,13,O,0,1,,6,1114119890618007,663,6,6,0,0,0,,,,4,9,25,4,1,3,1989,1114119890618,06,we,,,1114119890618007,,,,8,9,,,12JUN91:16:07,8,8,1,,,,8835250101,,1,88,8,1510,01085,8,34,79.224896735,19893498606we,,0,1114119890618007
,WINTER FLOUNDER,19893498606we,111411989060411800,0,C,5,,3,0,11,3,Y,10,40,,4,1114119890604021,800,6,6,0,0,1,,,,4,9,9,4,1,3,1989,1114119890604,06,we,,,1114119890604021,,,,8,1,,,12JUN91:16:07,8,8,1,,,,8857042001,,1,88,8,1230,06106,8,36,50.979535937,19893498606we,,0,1114119890604020
WINTER FLOUNDER,TAUTOG,19893498606we,11143198906031148,0,C,5,,3,0,1,1,Y,0,0,,5,1114319890603006,148,6,6,2,0,1,,,,4,9,9,4,1,3,1989,1114319890603,06,we,,,1114319890603006,1,,,8,1,,,12JUN91:16:07,8,8,1,,,,8839010101,8857042001,1,88,8,1530,06608,8,5,50.979535937,19893498606we,,0,1114319890603004
