Year,Family,t_N,t_prop,t_effort,t_abundance,f_N_adjfall,f_prop_adjfall,f_abundance_adjfall,f_N_adjspring,f_prop_adjspring,f_abundance_adjspring,f_N_fall,f_prop_fall,f_abundance_fall,f_N_spring,f_prop_spring,f_abundance_spring
2000,SAND LANCE,18,3.45E-02,773.42,2.33E-02,579,1.62E-03,4.34E+00,462,1.47E-03,1.92E+00,579,0.001618511,6.09E+00,462,0.001467985,4.71E+00
2001,BUTTERFISH,11,1.70E-02,651.17,1.69E-02,5611,8.67E-02,5.22E+00,2,7.54E-05,1.19E-02,5611,0.086561214,5.67E+01,2,0.0000754,2.06E-02
2001,HAKE,186,2.87E-01,651.17,2.86E-01,11937,5.45E-01,3.56E+01,15473,4.46E-01,3.07E+01,11954,0.54544139,1.21E+02,15490,0.445750797,1.60E+02
2001,HERRING,394,6.08E-01,651.17,6.05E-01,4709,1.97E-01,2.64E+00,5795,1.33E-01,4.44E+00,4709,0.196717943,4.76E+01,5795,0.13311561,5.97E+01
2001,MACKEREL,1,1.54E-03,651.17,1.54E-03,938,5.47E-02,7.90E-01,8962,3.44E-01,7.70E+00,948,0.054632971,9.58E+00,8962,0.343999038,9.24E+01
2001,POLLOCK,2,3.09E-03,651.17,3.07E-03,272,1.13E-01,9.66E-02,191,7.39E-02,6.93E-02,272,0.112851305,2.75E+00,191,0.073885197,1.97E+00
2001,SAND LANCE,54,8.33E-02,651.17,8.29E-02,1795,3.80E-03,1.47E+01,686,3.17E-03,3.17E+00,1795,0.003795178,1.81E+01,686,0.003173941,7.07E+00
2002,BUTTERFISH,21,4.23E-02,954.38,2.20E-02,17150,8.01E-02,1.72E+02,5,1.26E-04,2.21E-02,17150,0.08013393,1.82E+02,5,0.000125863,4.67E-02
2002,HAKE,393,7.92E-01,954.38,4.12E-01,11864,3.30E-01,4.46E+01,7454,6.48E-01,1.19E+01,11879,0.330521638,1.26E+02,7467,0.647594307,6.98E+01
2002,HERRING,21,4.23E-02,954.38,2.20E-02,19154,5.42E-01,2.11E+01,6238,1.88E-01,9.32E+00,19154,0.542074555,2.04E+02,6238,0.187589998,5.83E+01
2002,MACKEREL,39,7.86E-02,954.38,4.09E-02,460,1.34E-02,5.94E-01,27,1.97E-03,3.03E-02,461,0.01336604,4.90E+00,27,0.001970079,2.52E-01
2002,POLLOCK,1,2.02E-03,954.38,1.05E-03,119,3.39E-02,1.45E-02,1168,1.52E-01,1.24E-01,119,0.033898284,1.27E+00,1168,0.15158033,1.09E+01
2002,SANDLANCE,21,4.23E-02,954.38,2.20E-02,0,0.00E+00,0.00E+00,1110,1.01E-02,4.13E+00,5,0.00000555,5.32E-02,1294,0.011139424,1.21E+01
2003,BUTTERFISH,0,0,954.38,0,3699,2.71E-02,3.68E+01,3,7.47E-05,2.23E-02,3699,0.027113724,3.94E+01,3,0.0000747,3.30E-02
2003,HAKE,0,0,954.38,0,12646,3.73E-01,5.54E+01,10032,6.24E-01,2.94E+01,12650,0.372733768,1.35E+02,10033,0.623558695,1.10E+02
2003,HERRING,0,0,954.38,0,8738,3.16E-01,8.79E+00,5639,2.88E-01,1.29E+01,8738,0.315595007,9.30E+01,5639,0.287741425,6.20E+01
2003,MACKEREL,5,8.33E-01,107.53,4.65E-02,5744,1.35E-01,2.07E+01,1,6.38E-05,3.73E-03,5748,0.135177841,6.11E+01,1,0.0000638,1.10E-02
2003,POLLOCK,0,0,107.53,0,594,1.49E-01,5.06E-01,140,8.14E-02,1.23E-01,594,0.149318617,6.32E+00,140,0.081349237,1.54E+00
2003,SAND LANCE,1,1.67E-01,107.53,9.30E-03,24,6.10E-05,1.42E-01,483,7.21E-03,2.93E+00,24,0.000061,2.55E-01,483,0.007212106,5.31E+00
2004,BUTTERFISH,1,1.16E-02,115,8.70E-03,6408,4.47E-02,6.58E+01,0,0,0,6408,0.044655146,7.28E+01,0,0,0.00E+00
2004,HAKE,30,3.49E-01,115,2.61E-01,5062,3.77E-01,2.10E+01,5617,6.61E-01,1.38E+01,5072,0.377402305,5.76E+01,5624,0.660915801,5.74E+01
2004,HERRING,0,0.00E+00,115,0.00E+00,8009,4.75E-01,1.35E+01,8659,2.60E-01,2.01E+01,8009,0.474480011,9.10E+01,8659,0.260201493,8.84E+01
2004,MACKEREL,0,0.00E+00,115,0.00E+00,55,3.84E-03,6.10E-02,0,0,0,55,0.003842966,6.25E-01,0,0,0.00E+00
2004,POLLOCK,0,0.00E+00,115,0.00E+00,182,9.96E-02,1.65E-01,73,6.70E-02,5.96E-02,182,0.099588114,2.07E+00,73,0.066906577,7.45E-01
2004,SAND LANCE,55,6.40E-01,115,4.78E-01,4,3.15E-05,3.29E-02,1355,1.20E-02,3.27E+00,4,0.0000315,4.55E-02,1355,0.011976129,1.38E+01
2005,BUTTERFISH,32,9.30E-02,507.88,6.30E-02,292,2.38E-03,3.05E+00,0,0,0,292,0.002381821,3.24E+00,0,0,0.00E+00
2005,HAKE,275,7.99E-01,507.88,5.41E-01,3352,1.70E-01,1.17E+01,2007,4.66E-01,3.50E+00,3353,0.169704483,3.73E+01,2008,0.465649237,2.11E+01
2005,HERRING,23,6.69E-02,507.88,4.53E-02,13702,4.59E-01,2.57E+01,3010,6.85E-02,9.90E+00,13702,0.459428843,1.52E+02,3010,0.068491117,3.17E+01
2005,MACKEREL,9,2.62E-02,507.88,1.77E-02,1516,5.25E-02,5.72E+00,0,0,0,1517,0.052489705,1.69E+01,0,0,0.00E+00
2005,POLLOCK,0,0,507.88,0,633,3.14E-01,5.33E-01,241,4.42E-01,1.92E-01,633,0.314410575,7.03E+00,241,0.442219131,2.54E+00
2005,SAND LANCE,5,1.45E-02,507.88,9.84E-03,1058,1.58E-03,9.04E+00,2072,2.36E-02,1.23E+01,1058,0.001584572,1.18E+01,2072,0.023640516,2.18E+01
2006,BUTTERFISH,18,9.52E-02,236.33,7.62E-02,15998,1.54E-01,1.49E+02,1,1.12E-05,6.36E-03,15998,0.15365824,1.54E+02,1,0.0000112,9.43E-03
2006,HAKE,147,7.78E-01,236.33,6.22E-01,10777,2.72E-01,3.77E+01,2128,2.18E-01,5.54E+00,10781,0.272550123,1.04E+02,2132,0.217875677,2.01E+01
2006,HERRING,10,5.29E-02,236.33,4.23E-02,16197,4.72E-01,6.46E+00,13612,4.05E-01,4.52E+01,16197,0.472194773,1.56E+02,13612,0.404941267,1.28E+02
2006,MACKEREL,3,1.59E-02,236.33,1.27E-02,433,9.68E-03,2.31E-01,4,2.92E-04,3.94E-04,436,0.009684092,4.19E+00,4,0.000292261,3.77E-02
2006,POLLOCK,0,0,236.33,0,385,8.99E-02,2.44E-01,142,3.40E-01,8.83E-02,385,0.089842551,3.70E+00,142,0.339995691,1.34E+00
2006,SAND LANCE,11,5.82E-02,236.33,4.65E-02,1015,2.07E-03,8.28E+00,6053,3.69E-02,2.65E+01,1015,0.002070222,9.76E+00,6053,0.036883864,5.71E+01
2007,BUTTERFISH,8,1.80E-02,450.1,1.78E-02,5858,3.86E-02,5.68E+01,18,5.29E-04,1.33E-01,5858,0.038586672,6.04E+01,18,0.000528949,1.89E-01
2007,HAKE,228,5.14E-01,450.1,5.07E-01,9695,4.91E-01,3.25E+01,7275,3.17E-01,1.89E+01,9718,0.49161261,1.00E+02,7278,0.316795047,7.66E+01
2007,HERRING,128,2.88E-01,450.1,2.84E-01,7127,3.36E-01,6.23E+00,3253,1.26E-01,6.78E+00,7127,0.336066176,7.35E+01,3253,0.12610576,3.42E+01
2007,MACKEREL,52,1.17E-01,450.1,1.16E-01,1688,3.47E-02,3.65E+00,2734,2.99E-01,6.10E+00,1688,0.034734091,1.74E+01,2734,0.299070431,2.88E+01
2007,POLLOCK,1,2.25E-03,450.1,2.22E-03,70,6.92E-02,1.18E-02,206,2.50E-01,3.59E-02,70,0.069188976,7.22E-01,206,0.249673163,2.17E+00
2007,SAND LANCE,27,6.08E-02,450.1,6.00E-02,4888,2.98E-02,3.56E+01,1543,7.83E-03,9.33E+00,4888,0.029811475,5.04E+01,1543,0.007826649,1.62E+01
2008,BUTTERFISH,11,3.78E-02,337.33,3.26E-02,1810,9.73E-03,1.73E+01,2,5.67E-05,1.58E-02,1810,0.009724778,1.79E+01,2,0.0000567,2.08E-02
2008,HAKE,137,4.71E-01,337.33,4.06E-01,9538,4.87E-01,3.01E+01,5806,4.71E-01,1.31E+01,9340,0.47914637,9.25E+01,5811,0.470939435,6.05E+01
2008,HERRING,117,4.02E-01,337.33,3.47E-01,9365,3.79E-01,3.82E+00,3031,1.25E-01,6.29E+00,9365,0.378515206,9.27E+01,3031,0.124974662,3.16E+01
2008,MACKEREL,6,2.06E-02,337.33,1.78E-02,304,2.00E-02,6.31E-01,112,8.14E-03,2.45E-01,304,0.019967903,3.01E+00,112,0.008134409,1.17E+00
2008,POLLOCK,0,0,337.33,0,119,1.04E-01,2.53E-02,257,3.09E-01,5.76E-02,119,0.103604039,1.18E+00,257,0.308965481,2.68E+00
2008,SAND LANCE,20,6.87E-02,337.33,5.93E-02,632,1.53E-03,5.67E+00,15589,8.69E-02,1.00E+02,632,0.001528641,6.26E+00,15589,0.086929301,1.62E+02
2009,BUTTERFISH,17,1.40E-01,71.12,2.39E-01,5957,2.50E-02,6.38E+01,1,4.35E-06,5.86E-03,5957,0.024988863,6.48E+01,1,0.00000434,8.47E-03
2009,HAKE,33,2.73E-01,71.12,4.64E-01,57430,6.01E-01,2.48E+02,39911,5.36E-01,7.14E+01,57556,0.601077493,6.26E+02,39960,0.536620556,3.39E+02
2009,HERRING,57,4.71E-01,71.12,8.01E-01,36052,3.57E-01,9.20E+01,27322,4.03E-01,3.99E+01,36052,0.356531595,3.92E+02,27322,0.402378094,2.32E+02
2009,MACKEREL,10,8.26E-02,71.12,1.41E-01,475,1.28E-02,1.25E-01,1819,2.61E-02,3.73E-01,475,0.012837296,5.16E+00,1819,0.026102598,1.54E+01
2009,POLLOCK,0,0,71.12,0,101,4.55E-03,2.52E-01,126,3.43E-02,2.45E-01,101,0.004546169,1.10E+00,126,0.034318554,1.07E+00
2009,SAND LANCE,4,3.31E-02,71.12,5.62E-02,16,1.86E-05,1.52E-01,1005,5.76E-04,6.54E+00,16,0.0000186,1.74E-01,1005,0.000575853,8.52E+00
2010,BUTTERFISH,4,8.33E-02,341.77,1.17E-02,3232,1.42E-02,3.94E+01,34,1.61E-04,2.23E-01,3232,0.014215643,3.99E+01,34,0.000161119,2.98E-01
2010,HAKE,10,2.08E-01,341.77,2.93E-02,78609,8.07E-01,4.08E+02,142870,7.78E-01,3.27E+02,78652,0.806759015,9.71E+02,142981,0.777944496,1.25E+03
2010,HERRING,31,6.46E-01,341.77,9.07E-02,14825,1.38E-01,5.66E+01,33531,1.90E-01,8.44E+01,14825,0.137470478,1.83E+02,33531,0.189740534,2.94E+02
2010,MACKEREL,3,6.25E-02,341.77,8.78E-03,1072,8.90E-03,2.35E+00,588,1.34E-02,9.16E-01,1072,0.008900367,1.32E+01,588,0.013408506,5.16E+00
2010,POLLOCK,0,0,341.77,0,103,3.26E-02,8.05E-02,125,1.86E-02,6.94E-02,103,0.032601825,1.27E+00,125,0.018618751,1.10E+00
2010,SAND LANCE,0,0,341.77,0,18,5.27E-05,1.83E-01,51,1.27E-04,2.47E-01,18,0.0000527,2.22E-01,51,0.000126594,4.47E-01
2011,BUTTERFISH,106,3.03E-01,421.95,2.51E-01,6860,2.07E-02,7.65E+01,43,2.90E-04,3.01E-01,6860,0.020651863,7.71E+01,43,0.000289404,4.26E-01
2011,HAKE,137,3.91E-01,421.95,3.25E-01,54922,5.19E-01,2.29E+02,47881,6.27E-01,8.96E+01,54967,0.519479954,6.18E+02,47935,0.626846256,4.75E+02
2011,HERRING,69,1.97E-01,421.95,1.64E-01,53175,3.88E-01,8.98E+01,32204,2.18E-01,3.33E+01,53175,0.387884396,5.97E+02,32204,0.217753895,3.19E+02
2011,MACKEREL,16,4.57E-02,421.95,3.79E-02,3503,3.43E-02,1.93E+00,314,9.28E-03,1.52E-01,3503,0.034312485,3.94E+01,314,0.009276998,3.11E+00
2011,POLLOCK,0,0,421.95,0,781,3.77E-02,4.27E-01,558,1.43E-01,2.69E-01,781,0.037671302,8.78E+00,558,0.142919702,5.52E+00
2011,SANDLANCE,22,6.29E-02,421.95,5.21E-02,,,,1434,2.91E-03,9.16E+00,0,0,0.00E+00,1434,0.002913745,1.42E+01
2012,BUTTERFISH,1,2.33E-02,577.43,1.73E-03,10346,4.30E-02,9.34E+01,110,3.60E-04,6.12E-01,10346,0.042980675,9.32E+01,110,0.000359652,8.80E-01
2012,HAKE,0,0,577.43,0,132421,7.68E-01,4.52E+02,155845,5.30E-01,2.72E+02,132571,0.767870726,1.19E+03,155953,0.530196773,1.25E+03
2012,HERRING,29,6.74E-01,577.43,5.02E-02,22588,1.55E-01,3.08E+01,74706,3.60E-01,9.38E+01,22588,0.154952935,2.03E+02,74706,0.359690477,5.98E+02
2012,MACKEREL,8,1.86E-01,577.43,1.39E-02,2622,2.23E-02,1.18E+00,13937,9.02E-02,5.45E+00,2622,0.022310398,2.36E+01,13937,0.090198792,1.11E+02
2012,POLLOCK,0,0,577.43,0,216,1.17E-02,9.63E-02,208,1.86E-02,8.09E-02,216,0.011678517,1.95E+00,208,0.01856348,1.66E+00
2012,SAND LANCE,5,1.16E-01,577.43,8.66E-03,684,2.07E-04,6.28E+00,2411,9.91E-04,1.71E+01,684,0.000206749,6.16E+00,2411,0.000990826,1.93E+01
2013,BUTTERFISH,4,1.58E-02,483.73,8.27E-03,1512,6.88E-03,1.33E+01,152,8.39E-04,8.02E-01,1512,0.006867129,1.37E+01,152,0.000838824,1.25E+00
2013,HAKE,157,6.21E-01,483.73,3.25E-01,100235,7.91E-01,3.33E+02,96134,5.67E-01,1.56E+02,100379,0.791346433,9.13E+02,96274,0.567572387,7.89E+02
2013,HERRING,81,3.20E-01,483.73,1.67E-01,21680,1.95E-01,2.46E+01,49577,2.59E-01,5.19E+01,21680,0.194720925,1.97E+02,49577,0.259095543,4.06E+02
2013,MACKEREL,3,1.19E-02,483.73,6.20E-03,172,2.37E-03,5.10E-02,10432,1.54E-01,2.79E+00,172,0.002363572,1.56E+00,10432,0.154267413,8.55E+01
2013,POLLOCK,1,3.95E-03,483.73,2.07E-03,163,4.71E-03,5.49E-02,94,1.82E-02,2.85E-02,163,0.004700834,1.48E+00,94,0.018148973,7.70E-01
2013,SAND LANCE,7,2.77E-02,483.73,1.45E-02,1,1.11E-06,5.39E-03,69,7.69E-05,1.82E-01,1,0.00000111,9.09E-03,69,0.0000769,5.66E-01
2014,BUTTERFISH,31,6.26E-02,642.18,4.83E-02,9334,1.63E-02,8.11E+01,16,1.41E-04,8.97E-02,9334,0.016336041,8.56E+01,16,0.000140901,1.47E-01
2014,HAKE,200,4.04E-01,642.18,3.11E-01,109364,6.84E-01,3.33E+02,137349,7.89E-01,2.11E+02,109392,0.683891759,1.00E+03,137384,0.789249161,1.26E+03
2014,HERRING,163,3.29E-01,642.18,2.54E-01,29639,2.20E-01,2.05E+01,20315,1.98E-01,1.45E+01,29639,0.219561242,2.72E+02,20315,0.197971591,1.86E+02
2014,MACKEREL,5,1.01E-02,642.18,7.79E-03,3059,4.36E-02,9.15E-01,354,5.24E-03,1.06E-01,3059,0.043621863,2.81E+01,354,0.005239402,3.25E+00
2014,POLLOCK,8,1.62E-02,642.18,1.25E-02,1137,3.66E-02,1.25E-01,87,7.05E-03,9.56E-03,1137,0.036588377,1.04E+01,87,0.007049752,7.98E-01
2014,SAND LANCE,88,1.78E-01,642.18,1.37E-01,3,7.19E-07,1.57E-02,437,3.49E-04,2.32E+00,3,0.000000719,2.75E-02,437,0.000349193,4.01E+00
2015,BUTTERFISH,13,3.37E-02,616.55,2.11E-02,18256,4.20E-02,1.59E+02,28,1.15E-04,1.38E-01,18256,0.041932564,1.63E+02,28,0.000114842,2.31E-01
2015,HAKE,216,5.60E-01,616.55,3.50E-01,85862,7.38E-01,2.15E+02,84106,6.10E-01,1.18E+02,86023,0.738430645,7.68E+02,84172,0.610232977,6.96E+02
2015,HERRING,91,2.36E-01,616.55,1.48E-01,24354,1.72E-01,2.09E+01,24986,1.36E-01,3.84E+01,24354,0.171588093,2.17E+02,24986,0.136370094,2.06E+02
2015,MACKEREL,5,1.30E-02,616.55,8.11E-03,2708,3.15E-02,8.37E-01,15457,1.90E-01,4.42E+00,2708,0.031474074,2.42E+01,15457,0.189465345,1.28E+02
2015,POLLOCK,0,0,616.55,0,364,1.66E-02,3.89E-02,249,6.10E-02,2.46E-02,364,0.016572627,3.25E+00,249,0.061027052,2.06E+00
2015,SAND LANCE,61,1.58E-01,616.55,9.89E-02,5,2.00E-06,3.97E-02,16028,2.79E-03,1.03E+02,5,0.000002,4.46E-02,16028,0.00278969,1.32E+02
2016,BUTTERFISH,0,0,616.55,0,19715,1.86E-02,1.57E+02,302,1.30E-03,1.56E+00,19715,0.018575493,1.62E+02,302,0.001301958,2.52E+00
2016,HAKE,0,0,616.55,0,127670,6.39E-01,2.77E+02,98659,6.72E-01,1.19E+02,128059,0.639774397,1.05E+03,98698,0.671628676,8.22E+02
2016,HERRING,0,0,616.55,0,42777,2.44E-01,1.62E+01,29746,2.71E-01,2.08E+01,42777,0.243934396,3.51E+02,29746,0.270943296,2.48E+02
2016,MACKEREL,0,0,616.55,0,9968,8.95E-02,2.85E+00,2697,2.37E-02,7.78E-01,9968,0.089317618,8.17E+01,2697,0.023733794,2.25E+01
2016,POLLOCK,0,0,616.55,0,248,8.41E-03,2.45E-02,727,3.23E-02,7.26E-02,248,0.008396319,2.03E+00,727,0.03227839,6.06E+00
2016,SAND LANCE,0,0,616.55,0,6,1.78E-06,4.96E-02,521,1.14E-04,4.27E+00,6,0.00000178,4.92E-02,521,0.000113885,4.34E+00
2017,BUTTERFISH,11,1.83E-01,NA,NA,1371,3.65E-03,1.66E+01,21,1.02E-04,1.22E-01,1371,0.003643502,1.74E+01,21,0.000101593,2.08E-01
2017,HAKE,34,5.67E-01,NA,NA,83584,4.77E-01,4.08E+02,85653,7.32E-01,1.85E+02,83682,0.477676402,1.06E+03,86297,0.732144062,8.54E+02
2017,HERRING,12,2.00E-01,NA,NA,26354,2.40E-01,2.01E+01,12280,1.26E-01,9.87E+00,26354,0.239601629,3.34E+02,12280,0.12624973,1.22E+02
2017,MACKEREL,0,0,NA,NA,18273,2.74E-01,5.61E+00,12509,1.29E-01,3.03E+00,18273,0.273868022,2.31E+02,12509,0.129295563,1.24E+02
2017,POLLOCK,0,0,NA,NA,62,5.21E-03,9.40E-03,279,1.20E-02,3.34E-02,62,0.005208118,7.85E-01,279,0.012029415,2.76E+00
2017,SAND LANCE,3,5.00E-02,NA,NA,5,2.33E-06,6.33E-02,343,1.80E-04,2.77E+00,5,0.00000233,6.33E-02,343,0.000179636,3.40E+00
2018,BUTTERFISH,47,2.99E-01,NA,NA,17762,2.69E-02,2.24E+02,5,5.74E-05,4.73E-02,17762,0.026851239,2.31E+02,5,0.0000574,8.33E-02
2018,HAKE,55,3.50E-01,NA,NA,61818,7.46E-01,3.24E+02,63186,7.48E-01,2.35E+02,61896,0.746625254,8.04E+02,63214,0.747798138,1.05E+03
2018,HERRING,40,2.55E-01,NA,NA,8853,1.67E-01,7.85E+00,5691,9.00E-02,1.48E+01,8853,0.166747224,1.15E+02,5691,0.08996187,9.49E+01
2018,MACKEREL,0,0,NA,NA,2500,5.33E-02,3.12E+00,1781,3.52E-02,2.85E+00,2501,0.053202406,3.25E+01,1781,0.035152079,2.97E+01
2018,POLLOCK,4,2.55E-02,NA,NA,63,6.58E-03,9.80E-03,927,1.26E-01,1.85E-01,63,0.006567693,8.18E-01,927,0.125752543,1.55E+01
2018,SAND LANCE,11,7.01E-02,NA,NA,5,6.19E-06,6.07E-02,506,1.28E-03,7.03E+00,5,0.00000618,6.49E-02,506,0.001277994,8.43E+00
2019,BUTTERFISH,24,5.24E-02,NA,NA,2991,3.65E-03,3.05E+01,13,1.26E-04,6.78E-02,2991,0.003648251,3.15E+01,13,0.000125496,1.18E-01
2019,HAKE,263,5.74E-01,NA,NA,83836,7.64E-01,3.31E+02,73250,6.47E-01,1.54E+02,83868,0.764452621,8.83E+02,73331,0.647234321,6.67E+02
2019,HERRING,158,3.45E-01,NA,NA,7580,8.75E-02,1.13E+01,27479,2.71E-01,2.90E+01,7580,0.087443293,7.98E+01,27479,0.271244079,2.50E+02
2019,MACKEREL,0,0,NA,NA,6492,1.32E-01,6.96E+00,7355,7.00E-02,6.81E+00,6495,0.131492366,6.84E+01,7355,0.069995334,6.69E+01
2019,POLLOCK,0,0,NA,NA,46,1.30E-02,5.80E-03,50,1.13E-02,5.44E-03,46,0.012962653,4.84E-01,50,0.011304288,4.55E-01
2019,SAND LANCE,13,2.84E-02,NA,NA,1,8.16E-07,3.95E-03,189,9.65E-05,1.31E+00,1,0.000000816,1.05E-02,189,0.0000965,1.72E+00
