Year,Family,f_N,f_prop,f_effort,f_abundance,t_N,t_prop,t_effort,t_abundance,,,,
2010,HAKE,78609,8.07E-01,NA,4.08E+02,10,2.08E-01,341.77,2.93E-02,,,,
2010,HERRING,14825,1.38E-01,NA,5.66E+01,31,6.46E-01,341.77,9.07E-02,,,,
2010,MACKEREL,1072,8.90E-03,NA,2.35E+00,3,6.25E-02,341.77,8.78E-03,,,,
2010,POLLOCK,103,3.26E-02,NA,8.05E-02,,,,,,,,
2010,SAND LANCE,18,5.27E-05,NA,1.83E-01,,,,,,,,
2011,BUTTERFISH,6860,2.07E-02,NA,7.65E+01,106,3.03E-01,421.95,2.51E-01,,,,
2011,HAKE,54922,5.19E-01,NA,2.29E+02,137,3.91E-01,421.95,3.25E-01,,,,
2011,HERRING,53175,3.88E-01,NA,8.98E+01,69,1.97E-01,421.95,1.64E-01,,,,
2011,MACKEREL,3503,3.43E-02,NA,1.93E+00,16,4.57E-02,421.95,3.79E-02,,,,
2011,POLLOCK,781,3.77E-02,NA,4.27E-01,,,,,,,,
2011,SANDLANCE,,,,,22,6.29E-02,421.95,5.21E-02,,,,
2012,BUTTERFISH,10346,4.30E-02,NA,9.34E+01,1,2.33E-02,577.43,1.73E-03,,,,
2012,HAKE,132421,7.68E-01,NA,4.52E+02,,,,,,,,
2012,HERRING,22588,1.55E-01,NA,3.08E+01,29,6.74E-01,577.43,5.02E-02,,,,
2012,MACKEREL,2622,2.23E-02,NA,1.18E+00,8,1.86E-01,577.43,1.39E-02,,,,
2012,POLLOCK,216,1.17E-02,NA,9.63E-02,,,,,,,,
2012,SAND LANCE,684,2.07E-04,NA,6.28E+00,5,1.16E-01,577.43,8.66E-03,,,,
2013,BUTTERFISH,1512,6.88E-03,NA,1.33E+01,4,1.58E-02,483.73,8.27E-03,,,,
2013,HAKE,100235,7.91E-01,NA,3.33E+02,157,6.21E-01,483.73,3.25E-01,,,,
2013,HERRING,21680,1.95E-01,NA,2.46E+01,81,3.20E-01,483.73,1.67E-01,,,,
2013,MACKEREL,172,2.37E-03,NA,5.10E-02,3,1.19E-02,483.73,6.20E-03,,,,
2013,POLLOCK,163,4.71E-03,NA,5.49E-02,1,3.95E-03,483.73,2.07E-03,,,,
2013,SAND LANCE,1,1.11E-06,NA,5.39E-03,7,2.77E-02,483.73,1.45E-02,,,,
2014,BUTTERFISH,9334,1.63E-02,NA,8.11E+01,31,6.26E-02,642.18,4.83E-02,,,,
2014,HAKE,109364,6.84E-01,NA,3.33E+02,200,4.04E-01,642.18,3.11E-01,,,,
2014,HERRING,29639,2.20E-01,NA,2.05E+01,163,3.29E-01,642.18,2.54E-01,,,,
2014,MACKEREL,3059,4.36E-02,NA,9.15E-01,5,1.01E-02,642.18,7.79E-03,,,,
2014,POLLOCK,1137,3.66E-02,NA,1.25E-01,8,1.62E-02,642.18,1.25E-02,,,,
2014,SAND LANCE,3,7.19E-07,NA,1.57E-02,88,1.78E-01,642.18,1.37E-01,,,,
2015,BUTTERFISH,18256,4.20E-02,NA,1.59E+02,13,3.37E-02,616.55,2.11E-02,,,,
2015,HAKE,85862,7.38E-01,NA,2.15E+02,216,5.60E-01,616.55,3.50E-01,,,,
2015,HERRING,24354,1.72E-01,NA,2.09E+01,91,2.36E-01,616.55,1.48E-01,,,,
2015,MACKEREL,2708,3.15E-02,NA,8.37E-01,5,1.30E-02,616.55,8.11E-03,,,,
2015,POLLOCK,364,1.66E-02,NA,3.89E-02,,,,,,,,
2015,SAND LANCE,5,2.00E-06,NA,3.97E-02,61,1.58E-01,616.55,9.89E-02,,,,
2016,BUTTERFISH,19715,1.86E-02,NA,1.57E+02,,,,,,,,
2016,HAKE,127670,6.39E-01,NA,2.77E+02,,,,,,,,
2016,HERRING,42777,2.44E-01,NA,1.62E+01,,,,,,,,
2016,MACKEREL,9968,8.95E-02,NA,2.85E+00,,,,,,,,
2016,POLLOCK,248,8.41E-03,NA,2.45E-02,,,,,,,,
2016,SAND LANCE,6,1.78E-06,NA,4.96E-02,,,,,,,,
2017,BUTTERFISH,1371,3.65E-03,NA,1.66E+01,11,1.83E-01,NA,NA,,,,
2017,HAKE,83584,4.77E-01,NA,4.08E+02,34,5.67E-01,NA,NA,,,,
2017,HERRING,26354,2.40E-01,NA,2.01E+01,12,2.00E-01,NA,NA,,,,
2017,MACKEREL,18273,2.74E-01,NA,5.61E+00,,,,,,,,
2017,POLLOCK,62,5.21E-03,NA,9.40E-03,,,,,,,,
2017,SAND LANCE,5,2.33E-06,NA,6.33E-02,3,5.00E-02,NA,NA,,,,
2018,BUTTERFISH,17762,2.69E-02,NA,2.24E+02,47,2.99E-01,NA,NA,,,,
2018,HAKE,61818,7.46E-01,NA,3.24E+02,55,3.50E-01,NA,NA,,,,
2018,HERRING,8853,1.67E-01,NA,7.85E+00,40,2.55E-01,NA,NA,,,,
2018,MACKEREL,2500,5.33E-02,NA,3.12E+00,,,,,,,,
2018,POLLOCK,63,6.58E-03,NA,9.80E-03,4,2.55E-02,NA,NA,,,,
2018,SAND LANCE,5,6.19E-06,NA,6.07E-02,11,7.01E-02,NA,NA,,,,
2019,BUTTERFISH,2991,3.65E-03,NA,3.05E+01,24,5.24E-02,NA,NA,,,,
2019,HAKE,83836,7.64E-01,NA,3.31E+02,263,5.74E-01,NA,NA,,,,
2019,HERRING,7580,8.75E-02,NA,1.13E+01,158,3.45E-01,NA,NA,,,,
2019,MACKEREL,6492,1.32E-01,NA,6.96E+00,,,,,,,,
2019,POLLOCK,46,1.30E-02,NA,5.80E-03,,,,,,,,
2019,SAND LANCE,1,8.16E-07,NA,3.95E-03,13,2.84E-02,NA,NA,,,,
