Date,Time Stamp,Month,Year,Nest #,Time Arrived,Original Time Arrived,Time Departed,Handling time (s),Event,Species,Species 2,Species lumped,Received By,Provided By,Length (bill lengths),Length (cm),Area,Observer,observations,notes,day of year,week of the year
6/26/1999,6/26/1999 14:20,Jun,1999,6,14:20,14:20,14:20,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/26/1999,6/26/1999 14:41,Jun,1999,7,14:41,14:41,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/26/1999,6/26/1999 14:50,Jun,1999,6,14:50,14:50,14:50,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/26/1999,6/26/1999 14:54,Jun,1999,6,14:54,14:54,14:54,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DH,blind,,177,26
6/27/1999,6/27/1999 10:06,Jun,1999,2,10:06,10:06,10:06,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DH,blind,,178,27
6/27/1999,6/27/1999 10:08,Jun,1999,6,10:08,10:08,10:10,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DH,blind,,178,27
6/27/1999,6/27/1999 11:48,Jun,1999,7,11:48,11:48,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,178,27
6/27/1999,6/27/1999 14:43,Jun,1999,2,14:43,14:43,14:48,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 14:47,Jun,1999,6,14:47,14:47,14:47,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 14:51,Jun,1999,2,14:51,14:51,14:51,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 15:04,Jun,1999,6,15:04,15:04,15:04,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 15:05,Jun,1999,7,15:05,15:05,15:05,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 15:10,Jun,1999,6,15:10,15:10,15:10,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 15:14,Jun,1999,7,15:14,15:14,15:15,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 15:21,Jun,1999,2,15:21,15:21,15:22,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,178,27
6/27/1999,6/27/1999 16:37,Jun,1999,5,16:37,16:37,16:37,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,178,27
6/28/1999,6/28/1999 8:13,Jun,1999,2,8:13,8:13,8:13,,,Hake,Hake,fish,1st chick hatched,Known Male,0.75,2.86,,DT,blind,,179,27
6/28/1999,6/28/1999 9:03,Jun,1999,7,9:03,9:03,9:04,,,Hake,Hake,fish,Unknown Adult,Parent,0.75,2.86,,DT,blind,,179,27
6/28/1999,6/28/1999 15:28,Jun,1999,7,15:28,15:28,15:29,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,179,27
6/29/1999,6/29/1999 9:42,Jun,1999,6,9:42,9:42,9:42,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DH,blind,,180,27
6/29/1999,6/29/1999 9:43,Jun,1999,2,9:43,9:43,9:43,,,Hake,Hake,fish,1st chick hatched,Known Female,0.75,2.86,,DH,blind,,180,27
6/29/1999,6/29/1999 9:47,Jun,1999,2,9:47,9:47,9:47,,,Hake,Hake,fish,1st chick hatched,Known Female,0.75,2.86,,DH,blind,,180,27
6/29/1999,6/29/1999 9:51,Jun,1999,2,9:51,9:51,9:51,,,Hake,Hake,fish,1st chick hatched,Known Female,0.75,2.86,,DH,blind,,180,27
6/29/1999,6/29/1999 10:20,Jun,1999,7,10:20,10:20,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,180,27
6/29/1999,6/29/1999 16:05,Jun,1999,6,16:05,16:05,16:05,,,Hake,Hake,fish,Mate,Unknown Adult,0.75,2.86,,DT,blind,,180,27
7/3/1999,7/3/1999 13:06,Jul,1999,1,13:06,13:06,13:06,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,184,27
7/3/1999,7/3/1999 13:53,Jul,1999,1,13:53,13:53,Mate Switch,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,184,27
7/3/1999,7/3/1999 15:48,Jul,1999,1,15:48,15:48,15:50,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,184,27
7/5/1999,7/5/1999 15:46,Jul,1999,1,15:46,15:46,15:47,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,186,28
7/5/1999,7/5/1999 15:49,Jul,1999,1,15:49,15:49,15:50,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,186,28
7/5/1999,7/5/1999 15:54,Jul,1999,1,15:54,15:54,15:54,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,186,28
7/5/1999,7/5/1999 15:55,Jul,1999,1,15:55,15:55,15:55,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,186,28
7/5/1999,7/5/1999 15:57,Jul,1999,1,15:57,15:57,15:57,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,186,28
7/18/1999,7/18/1999 11:13,Jul,1999,63,11:13,11:13,>5 Min,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,199,30
7/18/1999,7/18/1999 11:24,Jul,1999,63,11:24,11:24,11:24,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,199,30
7/20/1999,7/20/1999 12:05,Jul,1999,64,12:05,12:05,12:05,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,201,30
7/22/1999,7/22/1999 12:28,Jul,1999,29,12:28,12:28,12:28,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 12:36,Jul,1999,29,12:36,12:36,>5 Min,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 12:36,Jul,1999,64,12:36,12:36,12:36,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 12:41,Jul,1999,29,12:41,12:41,12:41,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 15:19,Jul,1999,64,15:19,15:19,15:19,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 15:25,Jul,1999,64,15:25,15:25,15:25,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 15:53,Jul,1999,64,15:53,15:53,15:53,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:20,Jul,1999,29,16:20,16:20,16:20,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:22,Jul,1999,64,16:22,16:22,16:22,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:25,Jul,1999,64,16:25,16:25,16:25,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:35,Jul,1999,64,16:35,16:35,16:35,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:51,Jul,1999,29,16:51,16:51,>5 Min,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/22/1999,7/22/1999 16:54,Jul,1999,64,16:54,16:54,16:54,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,203,30
7/23/1999,7/23/1999 15:37,Jul,1999,64,15:37,15:37,15:37,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 15:39,Jul,1999,64,15:39,15:39,15:39,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 15:41,Jul,1999,64,15:41,15:41,15:41,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 15:51,Jul,1999,64,15:51,15:51,15:51,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 15:59,Jul,1999,29,15:59,15:59,15:59,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 16:03,Jul,1999,29,16:03,16:03,16:03,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/23/1999,7/23/1999 16:06,Jul,1999,29,16:06,16:06,16:06,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,0.75,2.86,,DT,blind,,204,30
7/24/1999,7/24/1999 10:29,Jul,1999,64,10:29,10:29,10:29,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,205,30
7/25/1999,7/25/1999 19:20,Jul,1999,9,19:20,19:20,19:20,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,206,31
7/25/1999,7/25/1999 19:34,Jul,1999,9,19:34,19:34,19:34,,,Hake,Hake,fish,Unknown chick,Unknown Adult,0.75,2.86,,DH,blind,,206,31
7/26/1999,7/26/1999 9:58,Jul,1999,64,9:58,9:58,9:58,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,0.75,2.86,,DT,blind,,207,31
6/26/1999,6/26/1999 8:32,Jun,1999,2,8:32,8:32,8:32,,,Hake,Hake,fish,1st chick hatched,Known Female,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 8:40,Jun,1999,3,8:40,8:40,8:44,,,Hake,Hake,fish,1st chick hatched,Parent,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 9:01,Jun,1999,5,9:01,9:01,9:02,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 9:03,Jun,1999,2,9:03,9:03,9:05,,,Hake,Hake,fish,1st chick hatched,Known Female,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 9:10,Jun,1999,5,9:10,9:10,9:10,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 10:13,Jun,1999,5,10:13,10:13,10:13,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 10:14,Jun,1999,5,10:14,10:14,10:14,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,177,26
6/26/1999,6/26/1999 13:54,Jun,1999,5,13:54,13:54,13:54,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 13:56,Jun,1999,7,13:56,13:56,>5 Min,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 14:29,Jun,1999,6,14:29,14:29,>5 Min,,,Hake,Hake,fish,Self,Self,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 15:05,Jun,1999,5,15:05,15:05,15:05,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 15:06,Jun,1999,6,15:06,15:06,15:06,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 15:10,Jun,1999,7,15:10,15:10,15:13,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 15:21,Jun,1999,5,15:21,15:21,15:21,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 15:50,Jun,1999,5,15:50,15:50,15:51,,,Hake,Hake,fish,3rd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 16:08,Jun,1999,7,16:08,16:08,16:09,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 16:18,Jun,1999,5,16:18,16:18,16:18,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 16:31,Jun,1999,7,16:31,16:31,16:31,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 16:47,Jun,1999,5,16:47,16:47,16:47,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,177,26
6/26/1999,6/26/1999 16:54,Jun,1999,2,16:54,16:54,16:55,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,177,26
6/27/1999,6/27/1999 10:01,Jun,1999,2,10:01,10:01,10:01,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 10:05,Jun,1999,6,10:05,10:05,Mate Switch,,,Hake,Hake,fish,1st chick hatched,Ub,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 10:06,Jun,1999,5,10:06,10:06,10:06,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 10:39,Jun,1999,6,10:39,10:39,10:41,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 11:02,Jun,1999,5,11:02,11:02,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 11:31,Jun,1999,7,11:31,11:31,Mate Switch,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 11:31,Jun,1999,2,11:31,11:31,>5 Min,,,Hake,Hake,fish,Self,Known Male,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 12:11,Jun,1999,6,12:11,12:11,Mate Switch,,,Hake,Hake,fish,2nd chick hatched,Ub,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 12:21,Jun,1999,6,12:21,12:21,12:21,,,Hake,Hake,fish,1st chick hatched,Ub,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 12:24,Jun,1999,6,12:24,12:24,12:24,,,Hake,Hake,fish,1st chick hatched,Ub,1.00,3.81,,DH,blind,,178,27
6/27/1999,6/27/1999 14:48,Jun,1999,2,14:48,14:48,>5 Min,,,Hake,Hake,fish,1st chick hatched,Known Female,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 14:56,Jun,1999,7,14:56,14:56,14:57,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 15:00,Jun,1999,7,15:00,15:00,15:02,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 15:21,Jun,1999,7,15:21,15:21,15:21,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 15:24,Jun,1999,5,15:24,15:24,15:24,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 15:54,Jun,1999,2,15:54,15:54,15:56,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DT,blind,,178,27
6/27/1999,6/27/1999 15:57,Jun,1999,5,15:57,15:57,15:57,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,178,27
6/28/1999,6/28/1999 8:01,Jun,1999,2,8:01,8:01,8:02,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 8:08,Jun,1999,2,8:08,8:08,8:08,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 8:28,Jun,1999,5,8:28,8:28,8:28,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 8:48,Jun,1999,5,8:48,8:48,8:48,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 9:08,Jun,1999,5,9:08,9:08,9:08,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 9:27,Jun,1999,5,9:27,9:27,9:27,,,Hake,Hake,fish,Unknown Adult,Parent,1.00,3.81,,DT,blind,,179,27
6/28/1999,6/28/1999 14:49,Jun,1999,6,14:49,14:49,14:49,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 15:00,Jun,1999,2,15:00,15:00,15:01,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 15:02,Jun,1999,6,15:02,15:02,15:05,,,Hake,Hake,fish,2nd chick hatched,Ub,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 15:28,Jun,1999,6,15:28,15:28,15:28,,,Hake,Hake,fish,2nd chick hatched,Known Male,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 15:47,Jun,1999,5,15:47,15:47,15:47,,,Hake,Hake,fish,3rd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 15:59,Jun,1999,6,15:59,15:59,15:59,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,179,27
6/28/1999,6/28/1999 16:26,Jun,1999,2,16:26,16:26,16:27,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,179,27
6/29/1999,6/29/1999 9:15,Jun,1999,6,9:15,9:15,Mate Switch,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,180,27
6/29/1999,6/29/1999 9:32,Jun,1999,6,9:32,9:32,9:32,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,180,27
6/29/1999,6/29/1999 9:35,Jun,1999,6,9:35,9:35,9:35,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,180,27
6/29/1999,6/29/1999 9:38,Jun,1999,2,9:38,9:38,9:38,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,180,27
6/29/1999,6/29/1999 15:20,Jun,1999,2,15:20,15:20,15:20,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DT,blind,,180,27
6/29/1999,6/29/1999 15:57,Jun,1999,6,15:57,15:57,15:57,,,Hake,Hake,fish,Unknown Adult,Unknown Adult,1.00,3.81,,DT,blind,,180,27
6/30/1999,6/30/1999 15:42,Jun,1999,6,15:42,15:42,>5 Min,,,Hake,Hake,fish,Unknown chick,Known Female,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:10,Jun,1999,2,16:10,16:10,16:10,,,Hake,Hake,fish,1st chick hatched,Known Male,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:17,Jun,1999,1,16:17,16:17,16:19,,,Hake,Hake,fish,Self,Known Male,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:22,Jun,1999,7,16:22,16:22,16:22,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:26,Jun,1999,6,16:26,16:26,16:26,,,Hake,Hake,fish,1st chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:41,Jun,1999,6,16:41,16:41,16:41,,,Hake,Hake,fish,Unknown chick,Known Male,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 16:48,Jun,1999,5,16:48,16:48,16:49,,,Hake,Hake,fish,2nd chick hatched,Unknown Adult,1.00,3.81,,DH,blind,,181,27
6/30/1999,6/30/1999 17:40,Jun,1999,1,17:40,17:40,17:40,,,Hake,Hake,fish,Unknown chick,Known Male,1.00,3.81,,DH,blind,,181,27
7/2/1999,7/2/1999 18:03,Jul,1999,22,18:03,18:03,18:03,,,Hake,Hake,fish,2nd chick hatched,Known Male,1.00,3.81,,DH,blind,,183,27
7/3/1999,7/3/1999 10:29,Jul,1999,9,10:29,10:29,Mate Switch,,,Hake,Hake,fish,Unknown chick,Uba,1.00,3.81,,DH,blind,,184,27
7/3/1999,7/3/1999 11:28,Jul,1999,22,11:28,11:28,11:28,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,184,27
7/3/1999,7/3/1999 11:50,Jul,1999,9,11:50,11:50,>5 Min,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,184,27
7/3/1999,7/3/1999 12:33,Jul,1999,9,12:33,12:33,12:33,,,Hake,Hake,fish,Unknown chick,Unknown Adult,1.00,3.81,,DH,blind,,184,27
7/3/1999,7/3/1999 12:39,Jul,1999,1,12:39,12:39,>5 Min,,,Hake,Hake,fish,2nd chick hatched,Known Female,1.00,3.81,,DH,blind,,184,27
