year,prey,n,minsize,meansize,maxsize,Effort (nest mins),proportion,abundance
2017,hake,43,1.905,6.202325581395349,9.525,12265,0.5,0.0035059111292295147
2017,herring,13,5.715,7.9375,9.525,12265,0.1511627906976744,0.001059926620464737
2017,invertebrate,9,0.9525,3.2808333333333333,7.62,12265,0.10465116279069768,7.337953526294333e-4
2017,sandlance,2,7.62,10.477500000000001,13.335,12265,0.023255813953488372,1.6306563391765185e-4
2018,butterfish,42,5.715,9.434285714285714,11.43,17566,0.24561403508771928,0.00239098257998406
2018,hake,55,1.905,5.472545454545455,13.335,17566,0.3216374269005848,0.003131048616645793
2018,herring,40,5.715,9.818076923076923,15.24,17566,0.23391812865497075,0.002277126266651486
2018,invertebrate,11,0.9525,3.0306818181818183,11.43,17566,0.06432748538011696,6.262097233291586e-4
2018,lumpfish,1,1.905,1.905,1.905,17566,0.005847953216374269,5.692815666628714e-5
2018,mummichog,3,3.81,6.35,7.62,17566,0.017543859649122806,1.7078446999886144e-4
2018,pipefish,1,19.05,19.05,19.05,17566,0.005847953216374269,5.692815666628714e-5
2018,pollock,4,5.715,9.525,15.24,17566,0.023391812865497075,2.2771262666514857e-4
2018,sandlance,11,9.525,11.776363636363637,15.24,17566,0.06432748538011696,6.262097233291586e-4
2018,silverside,3,5.715,6.985,7.62,17566,0.017543859649122806,1.7078446999886144e-4
2019,butterfish,33,3.81,7.251290322580645,9.525,59740,0.06099815157116451,5.523937060595915e-4
2019,cunner,1,5.715,5.715,5.715,59740,0.0018484288354898336,1.6739203213927016e-5
2019,hake,278,0.9525,6.604697802197802,11.43,59740,0.5138632162661737,0.00465349849347171
2019,herring,176,3.81,8.203045454545455,15.24,59740,0.32532347504621073,0.002946099765651155
2019,invertebrate,33,0.9525,2.4273387096774193,7.62,59740,0.06099815157116451,5.523937060595915e-4
2019,mummichog,3,3.81,5.715,7.62,59740,0.005545286506469501,5.021760964178105e-5
2019,rockling,1,7.62,7.62,7.62,59740,0.0018484288354898336,1.6739203213927016e-5
2019,sandlance,14,3.81,9.388928571428572,13.335,59740,0.025878003696857672,2.3434884499497823e-4
2019,silverside,1,7.62,7.62,7.62,59740,0.0018484288354898336,1.6739203213927016e-5
2019,white sucker,1,5.715,5.715,5.715,59740,0.0018484288354898336,1.6739203213927016e-5
2020,butterfish,65,3.81,6.022730769230769,9.525,37032,0.08807588075880758,0.0017552387124648951
2020,chum,1,3.81,3.81,3.81,37032,0.0013550135501355014,2.7003672499459927e-5
2020,cunner,6,5.715,9.842500000000001,13.335,37032,0.008130081300813009,1.6202203499675956e-4
2020,flounder,1,5.715,5.715,5.715,37032,0.0013550135501355014,2.7003672499459927e-5
2020,hake,158,0.9525,4.1475949367088605,9.525,37032,0.2140921409214092,0.004266580254914668
2020,herring,131,1.905,11.946860465116279,19.05,37032,0.17750677506775067,0.0035374810974292503
2020,invertebrate,295,0.9525,1.666875,13.335,37032,0.3997289972899729,0.00796608338734068
2020,mackerel,18,11.43,15.663333333333334,19.05,37032,0.024390243902439025,4.860661049902787e-4
2020,moonfish,2,3.81,3.81,3.81,37032,0.0027100271002710027,5.4007344998919854e-5
2020,mummichog,41,3.81,6.086707317073171,11.43,37032,0.05555555555555555,0.0011071505724778569
2020,pollock,1,5.715,5.715,5.715,37032,0.0013550135501355014,2.7003672499459927e-5
2020,redfish,2,7.62,7.62,7.62,37032,0.0027100271002710027,5.4007344998919854e-5
2020,rockling,2,5.715,7.62,9.525,37032,0.0027100271002710027,5.4007344998919854e-5
2020,sandlance,12,5.715,13.335,22.86,37032,0.016260162601626018,3.240440699935191e-4
2020,silverside,2,5.715,10.4775,15.24,37032,0.0027100271002710027,5.4007344998919854e-5
2020,stickleback,1,3.81,3.81,3.81,37032,0.0013550135501355014,2.7003672499459927e-5
2021,butterfish,87,3.81,7.99656976744186,15.24,32382,0.13615023474178403,0.0026866777839540485
2021,cunner,2,3.81,7.62,11.43,32382,0.003129890453834116,6.176270767710456e-5
2021,gadid,21,3.81,6.985,11.43,32382,0.03286384976525822,6.485084306095979e-4
2021,goosefish,1,5.715,5.715,5.715,32382,0.001564945226917058,3.088135383855228e-5
2021,hake,197,1.905,3.6125906735751294,9.525,32382,0.3082942097026604,0.0060836267061948
2021,herring,91,1.905,7.732058823529412,15.24,32382,0.14241001564945227,0.0028102031993082577
2021,invertebrate,156,0.9525,1.820765306122449,9.525,32382,0.24413145539906103,0.004817491198814156
2021,mackerel,6,7.62,10.477500000000001,13.335,32382,0.009389671361502348,1.8528812303131369e-4
2021,mummichog,11,3.81,5.888181818181818,9.525,32382,0.017214397496087636,3.396948922240751e-4
2021,puffer,5,3.81,6.096,7.62,32382,0.00782472613458529,1.544067691927614e-4
2021,redfish,2,3.81,5.715,7.62,32382,0.003129890453834116,6.176270767710456e-5
2021,rough scad,3,1.905,3.175,3.81,32382,0.004694835680751174,9.264406151565684e-5
2021,sandlance,47,5.715,10.187608695652173,15.24,32382,0.07355242566510173,0.0014514236304119573
2021,silverside,2,9.525,12.3825,15.24,32382,0.003129890453834116,6.176270767710456e-5
2021,stickleback,8,1.905,2.9935714285714288,5.715,32382,0.012519561815336464,2.4705083070841825e-4
2022,butterfish,67,3.81,6.596417910447761,9.525,34450,0.11185308848080133,0.0019448476052249637
2022,chum,2,1.905,1.905,1.905,34450,0.00333889816360601,5.8055152394775034e-5
2022,cunner,2,7.62,7.62,7.62,34450,0.00333889816360601,5.8055152394775034e-5
2022,gadid,2,3.81,5.715,7.62,34450,0.00333889816360601,5.8055152394775034e-5
2022,goosefish,2,3.81,5.715,7.62,34450,0.00333889816360601,5.8055152394775034e-5
2022,hake,204,0.9525,3.47685960591133,11.43,34450,0.34056761268781305,0.005921625544267054
2022,herring,199,3.81,8.212882653061225,17.145,34450,0.332220367278798,0.005776487663280116
2022,invertebrate,31,0.9525,2.19075,9.525,34450,0.05175292153589316,8.998548621190131e-4
2022,mackerel,1,13.335,13.335,13.335,34450,0.001669449081803005,2.9027576197387517e-5
2022,mummichog,8,3.81,6.19125,7.62,34450,0.01335559265442404,2.3222060957910014e-4
2022,sandlance,81,3.81,8.85825,15.24,34450,0.1352253756260434,0.002351233671988389
