ObservationType,Year,Date,Month,WeekOfYear,DayOfYear,WatchID,IncludeForRegression,WatchDurationMMss,WatchDurationMM,NumberNestsObserved,EventTime,EventTimeTrans,Event,NestID,UniqueNestID,ReceivedBy,UniqueChickID,PreyItem,PreyFamily,PreySizeBillLengths,PreySizeMM,Observer,Notes,ExcludeWatchFromFeedingRateCalculation,HandlingTimeSS,TimeArrived,TimeDeparted,GPSTag,ProvidedBy,video; time stamp
blind,2020,7/9/2020,Jul,28,191,2020_056,,,,,7:52,7:52:00,feeding,SB.06,2020.SB.06,A,2020.SB.06.A,? (not fish),unknown,0.25,9.125,GBS,,,,,,,,
blind,2020,7/9/2020,Jul,28,191,2020_056,,,,,7:54,7:54:00,feeding,SB.06,2020.SB.06,A,2020.SB.06.A,? (not fish),unknown,0.5,18.25,GBS,,,,,,,,
blind,1999,7/22/1999,Jul,30,203,1999_067,,,,,12:20,12:20:00,Feeding,64,1999.64,B,1999.64.B,amphipod,invert,0.75,27.375,DT,,,,12:20,12:20,,Unknown Adult,
blind,2000,6/21/2000,Jun,26,173,2000_004,,,,,11:23,11:23:00,Feeding,1,2000.1,C,2000.1.C,amphipod,invert,0.25,9.125,DH,,,,1123,1123,,Known Female,
blind,2000,6/21/2000,Jun,26,173,2000_004,,,,,11:26,11:26:00,Feeding,1,2000.1,A,2000.1.A,amphipod,invert,0.25,9.125,DH,,,,1126,1127,,Known Female,
blind,2000,7/20/2000,Jul,30,202,2000_071,,,,,14:57,14:57:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1457,1457,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:33,16:33:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1633,1633,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:35,16:35:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1635,1635,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:36,16:36:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1636,1636,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:38,16:38:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1638,1638,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:42,16:42:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1642,1642,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:45,16:45:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1645,1645,,Unknown Adult,
blind,2000,7/21/2000,Jul,30,203,2000_073,,,,,16:47,16:47:00,Feeding,60,2000.6,Unknown chick,,amphipod,invert,0.5,18.25,MC,,,,1647,1647,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:03,14:03:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1403,1403,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:06,14:06:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1406,1406,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:08,14:08:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1408,1408,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:11,14:11:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1411,1411,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:12,14:12:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1412,1412,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:14,14:14:00,Feeding,288,2000.288,A,2000.288.A,amphipod,invert,0.25,9.125,DH,,,,1414,1414,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:15,14:15:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1415,1415,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:15,14:15:00,Failed feeding,288,2000.288,Unknown chick,,amphipod,invert,0.75,27.375,DH,,,,1415,1416,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:20,14:20:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1420,1420,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:40,14:40:00,Feeding,436,2000.436,A,2000.436.A,amphipod,invert,0.25,9.125,DH,,,,1440,>5 Min,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:55,14:55:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1455,1455,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,14:59,14:59:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1459,1459,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,15:08,15:08:00,Feeding,286,2000.286,A,2000.286.A,amphipod,invert,0.25,9.125,DH,,,,1508,1508,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_075,,,,,15:10,15:10:00,Feeding,58,2000.58,B,2000.58.B,amphipod,invert,0.25,9.125,DH,,,,1510,1510,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_076,,,,,17:17,17:17:00,Feeding,282,2000.282,A,2000.282.A,amphipod,invert,0.5,18.25,DH,,,,1717,1717,,Unknown Adult,
blind,2000,7/22/2000,Jul,30,204,2000_076,,,,,17:28,17:28:00,Feeding,282,2000.282,A,2000.282.A,amphipod,invert,0.25,9.125,DH,,,,1728,1728,,Unknown Adult,
blind,2000,7/23/2000,Jul,31,205,2000_078,,,,,16:15,16:15:00,Feeding,359,2000.359,A,2000.359.A,amphipod,invert,0.25,9.125,MC,,,,1615,1615,,Unknown Adult,
blind,2000,7/23/2000,Jul,31,205,2000_078,,,,,16:19,16:19:00,Feeding,359,2000.359,A,2000.359.A,amphipod,invert,0.25,9.125,MC,,,,1619,1619,,Unknown Adult,
blind,2000,7/23/2000,Jul,31,205,2000_078,,,,,16:32,16:32:00,Feeding,359,2000.359,A,2000.359.A,amphipod,invert,0.25,9.125,MC,,,,1632,1632,,Unknown Adult,
blind,2000,7/25/2000,Jul,31,207,2000_083,,,,,17:27,17:27:00,Feeding,436,2000.436,Self,,amphipod,invert,0.5,18.25,MC,,,,1727,>5 Min,,Unknown Adult,
blind,2001,6/30/2001,Jun,26,181,2001_025,,,,,14:47,14:47:00,Feeding,272,2001.272,Unknown chick,,amphipod,invert,0.5,18.25,DGH,,,,1447,1447,,Unknown Adult,
blind,2001,7/21/2001,Jul,29,202,2001_001,,,,,17:15,17:15:00,Feeding,277,2001.277,Unknown chick,,amphipod,invert,0.25,9.125,DGH,,,,1715,>5 Min,,Self,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:13,7:13:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1913,1913,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:15,7:15:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1915,1916,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:18,7:18:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1918,1919,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:21,7:21:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1921,1922,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:24,7:24:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1924,1925,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:26,7:26:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1926,1926,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:28,7:28:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1928,1934,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:33,7:33:00,Feeding,469,2001.469,A,2001.469.A,amphipod,invert,0.25,9.125,ARL,,,,1933,1933,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:44,7:44:00,Feeding,469,2001.469,A,2001.469.A,amphipod,invert,0.25,9.125,ARL,,,,1944,1944,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:58,7:58:00,Feeding,428,2001.428,A,2001.428.A,amphipod,invert,0.5,18.25,ARL,,,,1958,2000,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_012,,,,,7:59,7:59:00,Feeding,140,2001.14,A,2001.140.A,amphipod,invert,0.5,18.25,ARL,,,,1959,1959,,Unknown Adult,
blind,2001,7/23/2001,Jul,30,204,2001_013,,,,,10:54,10:54:00,Feeding,428,2001.428,A,2001.428.A,amphipod,invert,0.5,18.25,ARL,,,,1054,1054,,Unknown Adult,
blind,2001,7/24/2001,Jul,30,205,2001_011,,,,,17:22,17:22:00,Feeding,551,2001.551,A,2001.551.A,amphipod,invert,0.25,9.125,ARL,,,,1722,1722,,Unknown Adult,
blind,2001,7/24/2001,Jul,30,205,2001_011,,,,,17:24,17:24:00,Feeding,551,2001.551,B,2001.551.B,amphipod,invert,0.25,9.125,ARL,,,,1724,1724,,Unknown Adult,
blind,2001,7/26/2001,Jul,30,207,2001_003,,,,,17:36,17:36:00,Feeding,551,2001.551,B,2001.551.B,amphipod,invert,0.25,9.125,ARL,,,,1736,1736,,Unknown Adult,
blind,2001,7/31/2001,Jul,31,212,2001_007,,,,,8:03,8:03:00,Feeding,476,2001.476,A,2001.476.A,amphipod,invert,0.25,9.125,ARL,,,,803,803,,Unknown Adult,
blind,2021,7/8/2021,Jul,28,189,2021_029,,,,,10:01 AM,10:01:00,feeding,D.07.2,2022.D.07.2,A,2022.D.07.2.A,amphipod,invert,0.5,,GVC,,,,,,,,
blind,2021,7/8/2021,Jul,28,189,2021_029,,,,,10:06 AM,10:06:00,feeding,D.07.2,2022.D.07.2,A,2022.D.07.2.A,amphipod,invert,0.5,,GVC,,,,,,,,
blind,1999,7/17/1999,Jul,29,198,1999_020,,,,,9:51,9:51:00,Feeding,1,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,9:51,9:51,,Unknown Adult,
blind,1999,7/17/1999,Jul,29,198,1999_020,,,,,9:52,9:52:00,Feeding,1,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,9:52,9:52,,Unknown Adult,
blind,1999,7/17/1999,Jul,29,198,1999_020,,,,,11:03,11:03:00,Feeding,1,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,11:03,11:04,,Unknown Adult,
blind,1999,7/17/1999,Jul,29,198,1999_020,,,,,11:05,11:05:00,Feeding,10,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,11:05,11:05,,Unknown Adult,
blind,1999,7/18/1999,Jul,30,199,1999_022,,,,,5:33,5:33:00,Feeding,1,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,5:33,5:33,,Unknown Adult,
blind,1999,7/18/1999,Jul,30,199,1999_022,,,,,5:36,5:36:00,Feeding,1,1999.1,Unknown chick,,ant,invert,0.5,18.25,DH,,,,5:36,5:36,,Unknown Adult,
blind,1999,7/18/1999,Jul,30,199,1999_023,,,,,11:17,11:17:00,Feeding,63,1999.63,Unknown chick,,ant,invert,0.5,18.25,DH,,,,11:17,11:17,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_036,,,,,9:32,9:32:00,Feeding,9,1999.9,Unknown Adult,,ant,invert,0.5,18.25,DH,,,,9:32,9:32,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:21,10:21:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:21,10:21,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:22,10:22:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:22,10:22,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:23,10:23:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:23,10:23,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:24,10:24:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:24,10:24,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:25,10:25:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:25,10:25,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:25,10:25:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:25,10:25,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:27,10:27:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:27,10:27,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:28,10:28:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:28,10:28,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:28,10:28:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:28,10:28,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:29,10:29:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:29,10:29,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:30,10:30:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:30,10:30,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:30,10:30:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:30,10:30,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:31,10:31:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:31,10:31,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:31,10:31:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:31,10:31,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:32,10:32:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:32,10:32,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:32,10:32:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:32,10:32,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:32,10:32:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:32,10:32,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:33,10:33:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:33,10:33,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:33,10:33:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:33,10:33,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:33,10:33:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:33,10:33,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:34,10:34:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:34,10:34,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:34,10:34:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:34,10:34,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:36,10:36:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:36,10:36,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:37,10:37:00,Feeding,63,1999.63,A,1999.63.A,ant,invert,0.5,18.25,DT,,,,10:37,10:37,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:37,10:37:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:37,10:37,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:38,10:38:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:38,10:38,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:38,10:38:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:38,10:38,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:41,10:41:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:41,10:41,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:41,10:41:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:41,10:41,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:41,10:41:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:41,10:41,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:42,10:42:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:42,10:42,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:43,10:43:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:43,10:43,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:44,10:44:00,Feeding,63,1999.63,A,1999.63.A,ant,invert,0.5,18.25,DT,,,,10:44,10:44,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:44,10:44:00,Feeding,63,1999.63,A,1999.63.A,ant,invert,0.5,18.25,DT,,,,10:44,10:44,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:45,10:45:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:45,10:45,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:45,10:45:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:45,10:45,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:45,10:45:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:45,10:45,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:45,10:45:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:45,10:45,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:46,10:46:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:46,10:46,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:46,10:46:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:46,10:46,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:47,10:47:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:47,10:47,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:47,10:47:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:47,10:47,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:48,10:48:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:48,10:48,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:48,10:48:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:48,10:48,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:49,10:49:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:49,10:49,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:49,10:49:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:49,10:49,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:49,10:49:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:49,10:49,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:49,10:49:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:49,10:49,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:49,10:49:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:49,10:49,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:50,10:50:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:50,10:50,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:50,10:50:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:50,10:50,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:51,10:51:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:51,10:51,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:52,10:52:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:52,10:52,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:52,10:52:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:52,10:52,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:53,10:53:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:53,10:53,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:53,10:53:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:53,10:53,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:54,10:54:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:54,10:54,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:54,10:54:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:54,10:54,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:54,10:54:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:54,10:54,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:55,10:55:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:55,10:55,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:55,10:55:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:55,10:55,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:56,10:56:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:56,10:56,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:57,10:57:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:57,10:57,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:57,10:57:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:57,10:57,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:59,10:59:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:59,10:59,,Unknown Adult,
blind,1999,7/27/1999,Jul,31,208,1999_076,,,,,10:59,10:59:00,Feeding,63,1999.63,B,1999.63.B,ant,invert,0.5,18.25,DT,,,,10:59,10:59,,Unknown Adult,
