Season,Year,Common_Name,TotCatch,n,Prop
Fall,2010,Herring Blueback,160,9,0.07317073170731707
Fall,2010,Mackerel Atlantic,982,14,0.11382113821138211
Fall,2010,Monkfish,51,11,0.08943089430894309
Fall,2010,Pollock,4,2,0.016260162601626018
Fall,2010,Shad American,6,3,0.024390243902439025
Fall,2011,Alewife,1102,11,0.0859375
Fall,2011,Butterfish,3310,16,0.125
Fall,2011,Cunner,51,5,0.0390625
Fall,2011,Hake Atlantic Red,992,14,0.109375
Fall,2011,Hake Silver (Whiting),5459,16,0.125
Fall,2011,Hake White,215,13,0.1015625
Fall,2011,Herring Atlantic,3073,16,0.125
Fall,2011,Herring Blueback,39,8,0.0625
Fall,2011,Mackerel Atlantic,72,4,0.03125
Fall,2011,Monkfish,57,11,0.0859375
Fall,2011,Pollock,1,1,0.0078125
Fall,2011,Shad American,80,11,0.0859375
Fall,2011,Smelt Rainbow,22,2,0.015625
Fall,2012,Alewife,1302,15,0.1048951048951049
Fall,2012,Butterfish,1064,19,0.13286713286713286
Fall,2012,Cunner,48,6,0.04195804195804196
Fall,2012,Hake Atlantic Red,808,16,0.11188811188811189
Fall,2012,Hake Silver (Whiting),10530,19,0.13286713286713286
Fall,2012,Hake White,43,8,0.055944055944055944
Fall,2012,Herring Atlantic,4026,17,0.11888111888111888
Fall,2012,Herring Blueback,2352,16,0.11188811188811189
Fall,2012,Mackerel Atlantic,72,4,0.027972027972027972
Fall,2012,Monkfish,30,9,0.06293706293706294
Fall,2012,Moonfish Atlantic,2,1,0.006993006993006993
Fall,2012,Pollock,1,1,0.006993006993006993
Fall,2012,Shad American,76,11,0.07692307692307693
Fall,2012,Silverside Atlantic,3,1,0.006993006993006993
Fall,2013,Alewife,2131,16,0.11347517730496454
Fall,2013,Butterfish,903,16,0.11347517730496454
Fall,2013,Cunner,95,3,0.02127659574468085
Fall,2013,Hake Atlantic Red,1052,16,0.11347517730496454
Fall,2013,Hake Silver (Whiting),11344,19,0.1347517730496454
Fall,2013,Hake White,45,9,0.06382978723404255
Fall,2013,Herring Atlantic,918,14,0.09929078014184398
Fall,2013,Herring Blueback,192,11,0.07801418439716312
Fall,2013,Mackerel Atlantic,37,8,0.05673758865248227
Fall,2013,Monkfish,33,13,0.09219858156028368
Fall,2013,Shad American,236,16,0.11347517730496454
Fall,2014,Alewife,1110,20,0.12422360248447205
Fall,2014,Butterfish,1522,14,0.08695652173913043
Fall,2014,Cunner,104,7,0.043478260869565216
Fall,2014,Hake Atlantic Red,935,20,0.12422360248447205
Fall,2014,Hake Silver (Whiting),17339,23,0.14285714285714285
Fall,2014,Hake White,137,16,0.09937888198757763
Fall,2014,Herring Atlantic,2147,19,0.11801242236024845
Fall,2014,Herring Blueback,19,7,0.043478260869565216
Fall,2014,Mackerel Atlantic,86,3,0.018633540372670808
Fall,2014,Monkfish,36,13,0.08074534161490683
Fall,2014,Moonfish Atlantic,11,1,0.006211180124223602
Fall,2014,Pollock,3,3,0.018633540372670808
Fall,2014,Shad American,91,14,0.08695652173913043
Fall,2014,Silverside Atlantic,2,1,0.006211180124223602
Fall,2015,Alewife,2640,14,0.09333333333333334
Fall,2015,Butterfish,2531,18,0.12
Fall,2015,Cunner,54,5,0.03333333333333333
Fall,2015,Hake Atlantic Red,1457,17,0.11333333333333333
Fall,2015,Hake Silver (Whiting),4203,17,0.11333333333333333
Fall,2015,Hake White,258,15,0.1
Fall,2015,Herring Atlantic,8737,15,0.1
Fall,2015,Herring Blueback,128,12,0.08
Fall,2015,Mackerel Atlantic,7,5,0.03333333333333333
Fall,2015,Monkfish,182,15,0.1
Fall,2015,Moonfish Atlantic,256,1,0.006666666666666667
Fall,2015,Pollock,7,5,0.03333333333333333
Fall,2015,Shad American,471,10,0.06666666666666667
Fall,2015,Smelt Rainbow,2,1,0.006666666666666667
Fall,2016,Alewife,1666,15,0.10067114093959731
Fall,2016,Butterfish,1332,18,0.12080536912751678
Fall,2016,Cunner,278,7,0.04697986577181208
Fall,2016,Hake Atlantic Red,3007,19,0.12751677852348994
Fall,2016,Hake Silver (Whiting),22440,19,0.12751677852348994
Fall,2016,Hake White,200,15,0.10067114093959731
Fall,2016,Herring Atlantic,2157,14,0.09395973154362416
Fall,2016,Herring Blueback,50,10,0.06711409395973154
Fall,2016,Mackerel Atlantic,209,3,0.020134228187919462
Fall,2016,Monkfish,119,15,0.10067114093959731
Fall,2016,Pollock,6,4,0.026845637583892617
Fall,2016,Shad American,48,10,0.06711409395973154
Fall,2017,Alewife,4493,21,0.09722222222222222
Fall,2017,Butterfish,419,24,0.1111111111111111
Fall,2017,Cunner,1162,8,0.037037037037037035
Fall,2017,Hake Atlantic Red,1638,21,0.09722222222222222
Fall,2017,Hake Silver (Whiting),15850,25,0.11574074074074074
Fall,2017,Hake White,172,18,0.08333333333333333
Fall,2017,Herring Atlantic,528,16,0.07407407407407407
Fall,2017,Herring Blueback,880,20,0.09259259259259259
Fall,2017,Mackerel Atlantic,473,18,0.08333333333333333
Fall,2017,Monkfish,157,20,0.09259259259259259
Fall,2017,Pollock,22,8,0.037037037037037035
Fall,2017,Shad American,191,15,0.06944444444444445
Fall,2017,Smelt Rainbow,4,2,0.009259259259259259
Fall,2018,Alewife,1162,21,0.12650602409638553
Fall,2018,Butterfish,8395,20,0.12048192771084337
Fall,2018,Cunner,22,7,0.04216867469879518
Fall,2018,Hake Atlantic Red,2771,21,0.12650602409638553
Fall,2018,Hake Silver (Whiting),22570,22,0.13253012048192772
Fall,2018,Hake White,300,17,0.10240963855421686
Fall,2018,Herring Atlantic,85,11,0.06626506024096386
Fall,2018,Herring Blueback,16,8,0.04819277108433735
Fall,2018,Mackerel Atlantic,44,5,0.030120481927710843
Fall,2018,Monkfish,100,20,0.12048192771084337
Fall,2018,Moonfish Atlantic,2,2,0.012048192771084338
Fall,2018,Shad American,48,10,0.060240963855421686
Fall,2018,Silverside Atlantic,12,1,0.006024096385542169
Fall,2018,Smelt Rainbow,1,1,0.006024096385542169
Fall,2019,Alewife,1230,19,0.11949685534591195
Fall,2019,Cunner,81,7,0.0440251572327044
Fall,2019,Hake Atlantic Red,1562,20,0.12578616352201258
Fall,2019,Hake Silver (Whiting),13369,22,0.13836477987421383
Fall,2019,Hake White,344,17,0.1069182389937107
Fall,2019,Herring Atlantic,2282,12,0.07547169811320754
Fall,2019,Herring Blueback,78,15,0.09433962264150944
Fall,2019,Mackerel Atlantic,190,12,0.07547169811320754
Fall,2019,Monkfish,61,16,0.10062893081761007
Fall,2019,Moonfish Atlantic,9,3,0.018867924528301886
Fall,2019,Pollock,3,3,0.018867924528301886
Fall,2019,Shad American,134,13,0.08176100628930817
Fall,2020,Alewife,729,16,0.13445378151260504
Fall,2020,Butterfish,592,13,0.1092436974789916
Fall,2020,Cunner,4,3,0.025210084033613446
Fall,2020,Hake Atlantic Red,2876,14,0.11764705882352941
Fall,2020,Hake Silver (Whiting),29826,14,0.11764705882352941
Fall,2020,Hake White,182,15,0.12605042016806722
Fall,2020,Herring Atlantic,266,8,0.06722689075630252
Fall,2020,Herring Blueback,177,9,0.07563025210084033
Fall,2020,Mackerel Atlantic,5,4,0.03361344537815126
Fall,2020,Monkfish,28,11,0.09243697478991597
Fall,2020,Moonfish Atlantic,13,2,0.01680672268907563
Fall,2020,Pollock,3,1,0.008403361344537815
Fall,2020,Shad American,15,7,0.058823529411764705
Fall,2020,Silverside Atlantic,1,1,0.008403361344537815
Fall,2020,Smelt Rainbow,1,1,0.008403361344537815
Fall,2021,Alewife,962,17,0.11486486486486487
Fall,2021,Butterfish,1399,18,0.12162162162162163
Fall,2021,Cunner,23,5,0.033783783783783786
Fall,2021,Hake Atlantic Red,2485,18,0.12162162162162163
Fall,2021,Hake Silver (Whiting),12508,20,0.13513513513513514
Fall,2021,Hake White,321,16,0.10810810810810811
Fall,2021,Herring Atlantic,114,9,0.060810810810810814
Fall,2021,Herring Blueback,180,9,0.060810810810810814
Fall,2021,Mackerel Atlantic,446,11,0.07432432432432433
Fall,2021,Monkfish,110,13,0.08783783783783784
Fall,2021,Pollock,2,2,0.013513513513513514
Fall,2021,Shad American,105,10,0.06756756756756757
Fall,2022,Alewife,39,4,0.037037037037037035
Fall,2022,Butterfish,459,11,0.10185185185185185
Fall,2022,Cunner,578,7,0.06481481481481481
Fall,2022,Hake Atlantic Red,2696,15,0.1388888888888889
Fall,2022,Hake Silver (Whiting),26779,17,0.1574074074074074
Fall,2022,Hake White,95,11,0.10185185185185185
Fall,2022,Herring Atlantic,490,13,0.12037037037037036
Fall,2022,Herring Blueback,3,2,0.018518518518518517
Fall,2022,Mackerel Atlantic,23,9,0.08333333333333333
Fall,2022,Monkfish,112,14,0.12962962962962962
Fall,2022,Pollock,1,1,0.009259259259259259
Fall,2022,Shad American,10,4,0.037037037037037035
Spring,2001,Alewife,3809,13,0.1511627906976744
Spring,2001,Cunner,2,2,0.023255813953488372
Spring,2001,Hake Atlantic Red,167,13,0.1511627906976744
Spring,2001,Hake Silver (Whiting),779,12,0.13953488372093023
Spring,2001,Hake White,16,5,0.05813953488372093
Spring,2001,Herring Atlantic,227,7,0.08139534883720931
Spring,2001,Herring Blueback,1294,10,0.11627906976744186
Spring,2001,Monkfish,148,12,0.13953488372093023
Spring,2001,Pollock,8,5,0.05813953488372093
Spring,2001,Sand Lance American,2,1,0.011627906976744186
Spring,2001,Shad American,2,2,0.023255813953488372
Spring,2001,Silverside Atlantic,1,1,0.011627906976744186
Spring,2001,Smelt Rainbow,587,3,0.03488372093023256
Spring,2002,Alewife,5824,13,0.16883116883116883
Spring,2002,Hake Atlantic Red,286,11,0.14285714285714285
Spring,2002,Hake Silver (Whiting),4651,10,0.12987012987012986
Spring,2002,Hake White,30,5,0.06493506493506493
Spring,2002,Herring Atlantic,2458,11,0.14285714285714285
Spring,2002,Herring Blueback,297,4,0.05194805194805195
Spring,2002,Mackerel Atlantic,2,1,0.012987012987012988
Spring,2002,Monkfish,84,10,0.12987012987012986
Spring,2002,Pollock,47,5,0.06493506493506493
Spring,2002,Shad American,101,6,0.07792207792207792
Spring,2002,Smelt Rainbow,1,1,0.012987012987012988
Spring,2003,Alewife,3701,12,0.13333333333333333
Spring,2003,Cunner,1,1,0.011111111111111112
Spring,2003,Hake Atlantic Red,335,12,0.13333333333333333
Spring,2003,Hake Silver (Whiting),2472,11,0.12222222222222222
Spring,2003,Hake White,33,8,0.08888888888888889
Spring,2003,Herring Atlantic,23919,12,0.13333333333333333
Spring,2003,Herring Blueback,1024,10,0.1111111111111111
Spring,2003,Monkfish,26,10,0.1111111111111111
Spring,2003,Pollock,17,7,0.07777777777777778
Spring,2003,Shad American,20,5,0.05555555555555555
Spring,2003,Smelt Rainbow,20,2,0.022222222222222223
Spring,2004,Alewife,841,13,0.1368421052631579
Spring,2004,Cunner,3,2,0.021052631578947368
Spring,2004,Hake Atlantic Red,141,12,0.12631578947368421
Spring,2004,Hake Silver (Whiting),4006,11,0.11578947368421053
Spring,2004,Hake White,23,6,0.06315789473684211
Spring,2004,Herring Atlantic,4238,11,0.11578947368421053
Spring,2004,Herring Blueback,57,9,0.09473684210526316
Spring,2004,Monkfish,49,11,0.11578947368421053
Spring,2004,Pollock,39,13,0.1368421052631579
Spring,2004,Shad American,11,5,0.05263157894736842
Spring,2004,Smelt Rainbow,39,2,0.021052631578947368
Spring,2005,Alewife,1857,10,0.15625
Spring,2005,Cunner,4,2,0.03125
Spring,2005,Hake Atlantic Red,93,11,0.171875
Spring,2005,Hake Silver (Whiting),424,9,0.140625
Spring,2005,Hake White,19,3,0.046875
Spring,2005,Herring Atlantic,995,8,0.125
Spring,2005,Herring Blueback,74,10,0.15625
Spring,2005,Monkfish,16,5,0.078125
Spring,2005,Pollock,1,1,0.015625
Spring,2005,Shad American,14,4,0.0625
Spring,2005,Smelt Rainbow,5,1,0.015625
Spring,2006,Alewife,5014,17,0.13178294573643412
Spring,2006,Butterfish,3,2,0.015503875968992248
Spring,2006,Cunner,30,5,0.03875968992248062
Spring,2006,Hake Atlantic Red,104,15,0.11627906976744186
Spring,2006,Hake Silver (Whiting),989,17,0.13178294573643412
Spring,2006,Hake White,48,12,0.09302325581395349
Spring,2006,Herring Atlantic,8444,15,0.11627906976744186
Spring,2006,Herring Blueback,2173,18,0.13953488372093023
Spring,2006,Monkfish,15,6,0.046511627906976744
Spring,2006,Pollock,48,4,0.031007751937984496
Spring,2006,Shad American,147,16,0.12403100775193798
Spring,2006,Smelt Rainbow,225,2,0.015503875968992248
Spring,2007,Alewife,12769,17,0.15178571428571427
Spring,2007,Cunner,9,5,0.044642857142857144
Spring,2007,Hake Atlantic Red,177,15,0.13392857142857142
Spring,2007,Hake Silver (Whiting),2168,13,0.11607142857142858
Spring,2007,Hake White,24,6,0.05357142857142857
Spring,2007,Herring Atlantic,5942,12,0.10714285714285714
Spring,2007,Herring Blueback,466,12,0.10714285714285714
Spring,2007,Monkfish,16,9,0.08035714285714286
Spring,2007,Pollock,11,5,0.044642857142857144
Spring,2007,Shad American,98,14,0.125
Spring,2007,Smelt Rainbow,3076,4,0.03571428571428571
Spring,2008,Alewife,2041,19,0.1386861313868613
Spring,2008,Cunner,2,2,0.014598540145985401
Spring,2008,Hake Atlantic Red,274,19,0.1386861313868613
Spring,2008,Hake Silver (Whiting),5506,17,0.12408759124087591
Spring,2008,Hake White,109,15,0.10948905109489052
Spring,2008,Herring Atlantic,1463,17,0.12408759124087591
Spring,2008,Herring Blueback,156,12,0.08759124087591241
Spring,2008,Monkfish,82,15,0.10948905109489052
Spring,2008,Pollock,72,5,0.0364963503649635
Spring,2008,Sand Lance American,16,2,0.014598540145985401
Spring,2008,Shad American,53,10,0.072992700729927
Spring,2008,Smelt Rainbow,89,4,0.029197080291970802
Spring,2009,Alewife,4281,21,0.15555555555555556
Spring,2009,Cunner,5,4,0.02962962962962963
Spring,2009,Hake Atlantic Red,491,20,0.14814814814814814
Spring,2009,Hake Silver (Whiting),7693,19,0.14074074074074075
Spring,2009,Hake White,194,16,0.11851851851851852
Spring,2009,Herring Atlantic,1304,13,0.0962962962962963
Spring,2009,Herring Blueback,20,8,0.05925925925925926
Spring,2009,Monkfish,41,13,0.0962962962962963
Spring,2009,Pollock,12,8,0.05925925925925926
Spring,2009,Sand Lance American,10,2,0.014814814814814815
Spring,2009,Shad American,12,9,0.06666666666666667
Spring,2009,Smelt Rainbow,22,2,0.014814814814814815
Spring,2010,Alewife,3392,17,0.14782608695652175
Spring,2010,Butterfish,1,1,0.008695652173913044
Spring,2010,Hake Atlantic Red,303,16,0.1391304347826087
Spring,2010,Hake Silver (Whiting),9307,16,0.1391304347826087
Spring,2010,Hake White,45,12,0.10434782608695652
Spring,2010,Herring Atlantic,12382,14,0.12173913043478261
Spring,2010,Herring Blueback,411,13,0.11304347826086956
Spring,2010,Monkfish,32,9,0.0782608695652174
Spring,2010,Pollock,17,4,0.034782608695652174
Spring,2010,Sand Lance American,39,2,0.017391304347826087
Spring,2010,Shad American,37,9,0.0782608695652174
Spring,2010,Smelt Rainbow,4,2,0.017391304347826087
Spring,2011,Alewife,7621,24,0.17777777777777778
Spring,2011,Butterfish,1,1,0.007407407407407408
Spring,2011,Cunner,3,3,0.022222222222222223
Spring,2011,Hake Atlantic Red,271,17,0.1259259259259259
Spring,2011,Hake Silver (Whiting),3426,17,0.1259259259259259
Spring,2011,Hake White,20,9,0.06666666666666667
Spring,2011,Herring Atlantic,11459,18,0.13333333333333333
Spring,2011,Herring Blueback,2791,12,0.08888888888888889
Spring,2011,Mackerel Atlantic,2,2,0.014814814814814815
Spring,2011,Monkfish,16,11,0.08148148148148149
Spring,2011,Pollock,6,2,0.014814814814814815
Spring,2011,Sand Lance American,17,3,0.022222222222222223
Spring,2011,Shad American,62,13,0.0962962962962963
Spring,2011,Silverside Atlantic,1,1,0.007407407407407408
Spring,2011,Smelt Rainbow,66,2,0.014814814814814815
Spring,2012,Alewife,5231,18,0.14173228346456693
Spring,2012,Butterfish,10,4,0.031496062992125984
Spring,2012,Cunner,13,3,0.023622047244094488
Spring,2012,Hake Atlantic Red,251,16,0.12598425196850394
Spring,2012,Hake Silver (Whiting),11109,18,0.14173228346456693
Spring,2012,Hake White,9,4,0.031496062992125984
Spring,2012,Herring Atlantic,14078,18,0.14173228346456693
Spring,2012,Herring Blueback,68,12,0.09448818897637795
Spring,2012,Mackerel Atlantic,575,2,0.015748031496062992
Spring,2012,Monkfish,13,8,0.06299212598425197
Spring,2012,Pollock,4,1,0.007874015748031496
Spring,2012,Sand Lance American,614,3,0.023622047244094488
Spring,2012,Shad American,135,16,0.12598425196850394
Spring,2012,Smelt Rainbow,26,4,0.031496062992125984
Spring,2013,Alewife,4364,18,0.13846153846153847
Spring,2013,Butterfish,6,2,0.015384615384615385
Spring,2013,Cunner,14,8,0.06153846153846154
Spring,2013,Hake Atlantic Red,259,18,0.13846153846153847
Spring,2013,Hake Silver (Whiting),5385,19,0.14615384615384616
Spring,2013,Hake White,5,2,0.015384615384615385
Spring,2013,Herring Atlantic,14867,21,0.16153846153846155
Spring,2013,Herring Blueback,215,13,0.1
Spring,2013,Mackerel Atlantic,11,6,0.046153846153846156
Spring,2013,Monkfish,17,10,0.07692307692307693
Spring,2013,Sand Lance American,10,2,0.015384615384615385
Spring,2013,Shad American,47,10,0.07692307692307693
Spring,2013,Smelt Rainbow,2,1,0.007692307692307693
Spring,2014,Alewife,7063,24,0.16783216783216784
Spring,2014,Cunner,10,5,0.03496503496503497
Spring,2014,Hake Atlantic Red,435,18,0.1258741258741259
Spring,2014,Hake Silver (Whiting),25877,20,0.13986013986013987
Spring,2014,Hake White,8,3,0.02097902097902098
Spring,2014,Herring Atlantic,7216,18,0.1258741258741259
Spring,2014,Herring Blueback,1059,17,0.11888111888111888
Spring,2014,Monkfish,30,10,0.06993006993006994
Spring,2014,Pollock,70,9,0.06293706293706294
Spring,2014,Sand Lance American,16,3,0.02097902097902098
Spring,2014,Shad American,64,13,0.09090909090909091
Spring,2014,Smelt Rainbow,4,3,0.02097902097902098
Spring,2015,Alewife,10521,29,0.1895424836601307
Spring,2015,Cunner,4,2,0.013071895424836602
Spring,2015,Hake Atlantic Red,158,19,0.12418300653594772
Spring,2015,Hake Silver (Whiting),7261,19,0.12418300653594772
Spring,2015,Hake White,45,13,0.08496732026143791
Spring,2015,Herring Atlantic,11485,19,0.12418300653594772
Spring,2015,Herring Blueback,1240,18,0.11764705882352941
Spring,2015,Mackerel Atlantic,1,1,0.006535947712418301
Spring,2015,Monkfish,49,15,0.09803921568627451
Spring,2015,Pollock,3,2,0.013071895424836602
Spring,2015,Sand Lance American,3,1,0.006535947712418301
Spring,2015,Shad American,64,14,0.0915032679738562
Spring,2015,Smelt Rainbow,2,1,0.006535947712418301
Spring,2016,Alewife,17310,31,0.16666666666666666
Spring,2016,Butterfish,8,6,0.03225806451612903
Spring,2016,Cunner,33,8,0.043010752688172046
Spring,2016,Hake Atlantic Red,475,21,0.11290322580645161
Spring,2016,Hake Silver (Whiting),23811,20,0.10752688172043011
Spring,2016,Hake White,37,10,0.053763440860215055
Spring,2016,Herring Atlantic,1476,17,0.0913978494623656
Spring,2016,Herring Blueback,1439,21,0.11290322580645161
Spring,2016,Mackerel Atlantic,3,2,0.010752688172043012
Spring,2016,Monkfish,127,17,0.0913978494623656
Spring,2016,Pollock,192,7,0.03763440860215054
Spring,2016,Sand Lance American,16,2,0.010752688172043012
Spring,2016,Shad American,190,22,0.11827956989247312
Spring,2016,Smelt Rainbow,12,2,0.010752688172043012
Spring,2017,Alewife,11783,29,0.18238993710691823
Spring,2017,Butterfish,1,1,0.006289308176100629
Spring,2017,Cunner,49,4,0.025157232704402517
Spring,2017,Hake Atlantic Red,337,20,0.12578616352201258
Spring,2017,Hake Silver (Whiting),14020,23,0.14465408805031446
Spring,2017,Hake White,3,3,0.018867924528301886
Spring,2017,Herring Atlantic,5635,17,0.1069182389937107
Spring,2017,Herring Blueback,2186,19,0.11949685534591195
Spring,2017,Mackerel Atlantic,1,1,0.006289308176100629
Spring,2017,Monkfish,39,16,0.10062893081761007
