Survey,Season,Year,Tow_Number,Region,Depth_Stratum,Grid,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Start_Date,Tow_Time,Start_Depth_fathoms,End_Depth_fathoms,Tow_Type,Tow_LengthNM,Air_Temp,Bottom_WaterTemp_DegC,Bottom_Salinity,Surface_WaterTemp_DegC,Surface_Salinity
FL00,Fall,2000,33,3,1,317,43.9265,-69.122,43.9173,-69.1386,2000-11-13T13:57:00Z,0:20,20,19,R,0.94,,10,32.65,10,32.43
FL00,Fall,2000,34,3,1,290,43.953,-69.1426,43.9425,-69.1529,2000-11-13T15:30:00Z,0:20,19,20,R,0.79,,,,,
FL00,Fall,2000,35,3,1,993,44.39937,-68.8781,44.41168,-68.89313,2000-11-14T10:48:00Z,0:20,11,11,R,1.07,,10.2,32.52,9.8,30.83
FL00,Fall,2000,36,3,1,995,44.41567,-68.83356,44.40383,-68.84883,2000-11-14T12:00:00Z,0:20,10,10,R,0.977,,,,,
FL00,Fall,2000,37,3,2,93,44.1872,-68.8967,44.1758,-68.9122,2000-11-14T14:03:00Z,0:20,26,27,R,1.02,,10,32.7,10,32.21
FL00,Fall,2000,38,3,2,126,44.1306,-68.9756,44.1174,-68.9883,2000-11-14T15:15:00Z,0:20,38,34,R,1.11,,,,,
FL00,Fall,2000,39,3,1,454,43.8507,-68.9297,43.8417,-68.9301,2000-11-15T08:45:00Z,0:10,16,18,R,0.56,,9.5,33.67,10,33.12
FL00,Fall,2000,40,3,3,328,43.9285,-68.8612,43.9271,-68.8774,2000-11-16T08:46:00Z,0:16,48,49,R,0.75,,9.9,33.03,9.9,33.01
FL00,Fall,2000,41,3,3,359,43.9258,-68.7467,43.9188,-68.7634,2000-11-16T10:59:00Z,0:17,50,48.8,NA,0.84,,10,32.95,9.9,32.86
FL00,Fall,2000,42,3,3,384,43.8859,-68.7451,43.8942,-68.7573,2000-11-16T12:34:00Z,0:25,48,51,R,0.76,,,,,
FL00,Fall,2000,43,3,2,121,44.1417,-68.7586,44.1557,-68.7593,2000-11-20T08:01:00Z,0:20,28,28.9,NA,0.91,,9.4,32.7,9,32.47
FL00,Fall,2000,44,3,3,364,43.9039,-68.6356,43.9113,-68.6198,2000-11-20T15:55:00Z,0:16,50,49,R,0.95,,10.1,33.02,9.4,32.61
FL00,Fall,2000,45,4,1,250,44.1566,-68.544,44.1664,-68.526,2000-11-21T07:52:00Z,0:18,16,16,R,0.99,,8.7,32.74,8.7,32.76
FL00,Fall,2000,46,4,3,492,44.0078,-68.5552,44.0223,-68.5302,2000-11-21T10:04:00Z,0:20,37.5,42.5,R,1.41,,9.3,32.84,9.4,32.6
FL00,Fall,2000,47,4,3,589,43.9073,-68.5372,43.9201,-68.5279,2000-11-21T12:40:00Z,0:20,50,50,R,0.89,,10.1,32.99,9.4,32.49
FL00,Fall,2000,48,4,3,456,44.0436,-68.3214,44.0501,-68.3023,2000-11-21T14:51:00Z,0:19,46,48,R,0.94,,9.7,32.81,9.5,32.62
FL00,Fall,2000,49,4,2,286,44.134,-68.2498,44.144,-68.2628,2000-11-22T07:30:00Z,0:20,30,29.8,R,0.87,,9.4,32.73,9.5,32.69
FL00,Fall,2000,50,4,1,175,44.2142,-68.4205,44.2046,-68.4385,2000-11-22T10:00:00Z,0:25,15,16,R,0.99,,8.8,32.73,8.8,32.75
FL00,Fall,2000,51,4,1,31,44.3695,-68.4827,44.3848,-68.4902,2000-11-22T12:15:00Z,0:20,13,13,RA,1.01,,9.1,32.54,8.8,32.56
FL00,Fall,2000,52,4,3,322,44.1185,-68.1016,44.1064,-68.0862,2000-11-27T12:20:00Z,0:20,50,48.5,R,0.99,,9.4,32.68,9.8,32.43
FL00,Fall,2000,53,4,3,165,44.2217,-68.075,44.2317,-68.0955,2000-11-27T14:41:00Z,0:20,38,40,NA,0.97,,8.9,32.25,9.1,32.37
FL00,Fall,2000,54,4,2,77,44.3068,-68.1718,44.3203,-68.1576,2000-11-28T06:36:00Z,0:20,26,28,R,1.01,,8.4,32.75,8.8,32.49
FL00,Fall,2000,55,4,2,94,44.2889,-68.1292,44.2726,-68.1247,2000-11-28T08:08:00Z,0:20,35,35,NA,1.03,,8.6,32.68,8.8,32.41
FL00,Fall,2000,56,4,2,37,44.3618,-68.1563,44.378,-68.1559,2000-11-28T09:45:00Z,0:20,28,27,R,1.01,,8.2,32.73,8.7,32.55
FL00,Fall,2000,57,4,1,15,44.4063,-68.2264,44.411,-68.2293,2000-11-28T11:00:00Z,0:20,8.5,8,R,0.33,,7.9,32.67,8,32.59
FL00,Fall,2000,58,4,1,911,44.4434,-68.297,44.4526,-68.3149,2000-11-28T12:22:00Z,0:20,5.9,10,R,0.95,,,,,
FL00,Fall,2000,59,4,3,273,44.1614,-67.8835,44.1492,-67.9042,2000-11-29T08:08:00Z,0:20,51.8,53.7,R,1.19,,9.8,32.88,9,31.98
FL00,Fall,2000,60,4,3,270,44.1623,-67.9533,44.1498,-67.9707,2000-11-29T09:26:00Z,0:22,46,48,R,1.03,,,,,
FL00,Fall,2000,61,4,2,99,44.2915,-67.9933,44.2858,-68.0128,2000-11-29T13:46:00Z,0:19,36,35,R,0.93,,8.8,32.46,9.1,32
FL00,Fall,2000,62,5,2,615,44.2968,-67.8075,44.3025,-67.7864,2000-11-30T08:28:00Z,0:15,36,36,R,0.99,,9.5,32.68,8.9,32.44
FL00,Fall,2000,63,5,2,511,44.3341,-67.8553,44.3177,-67.8541,2000-11-30T10:15:00Z,0:22,30,32,R,1.03,,8.5,32.41,8.8,32.36
FL00,Fall,2000,64,5,1,428,44.3863,-67.9405,44.3966,-67.9197,2000-11-30T12:10:00Z,0:20,16.6,17,R,1.14,,8.7,32.38,8.6,32.42
FL00,Fall,2000,65,5,1,453,44.3799,-68.0242,44.3598,-68.01,2000-11-30T13:45:00Z,0:20,16,15,RA,1.21,,9,32.5,,
FL00,Fall,2000,66,5,3,588,44.2711,-67.6418,44.2815,-67.624,2000-12-01T09:34:00Z,0:20,52,52,R,0.78,,8.9,32.68,9,32.37
FL00,Fall,2000,67,5,3,566,44.3,-67.6885,44.3033,-67.6572,2000-12-01T11:13:00Z,0:21,49.7,45.5,R,1.41,,9,32.67,9.2,32.66
FL00,Fall,2000,68,5,1,261,44.4185,-67.7505,44.4329,-67.7234,2000-12-01T14:04:00Z,0:20,24,24,RA,1.5,,8.3,32.48,8.2,32.43
FL00,Fall,2000,69,5,1,264,44.4548,-67.7262,44.465,-67.7145,2000-12-01T15:10:00Z,0:20,16,14,RA,0.83,,7.7,32.4,8,32.4
FL00,Fall,2000,70,5,1,268,44.4566,-67.6402,44.4733,-67.6357,2000-12-02T07:13:00Z,0:20,15,14,R,1.04,,7.5,32.64,7.8,32.56
FL00,Fall,2000,71,5,3,406,44.3866,-67.5442,44.3964,-67.5247,2000-12-02T09:17:00Z,0:21,46.5,46,R,1.13,,8.9,32.73,8.8,32.71
FL00,Fall,2000,72,5,2,275,44.4561,-67.382,44.4651,-67.3621,2000-12-02T11:35:00Z,0:22,36,36,RA,1.08,,9,32.75,9,32.74
FL00,Fall,2000,73,5,1,173,44.5413,-67.5056,44.5474,-67.483,2000-12-02T14:03:00Z,0:23,16.6,18.1,R,1.06,,8.1,32.78,8.2,32.78
FL00,Fall,2000,74,5,2,118,44.5834,-67.3111,44.5922,-67.2797,2000-12-03T08:13:00Z,0:20,31,31.8,R,1.49,,,,,
FL00,Fall,2000,75,5,3,314,44.6099,-67.2209,44.6151,-67.1827,2000-12-03T10:10:00Z,0:20,48.5,48,R,1.51,,9,32.84,9,32.83
FL00,Fall,2000,76,5,3,103,44.4596,-67.2063,44.4428,-67.2007,2000-12-03T12:25:00Z,0:15,59,59,R,0.85,,9.1,32.68,8.8,32.22
FL00,Fall,2000,77,5,3,38,44.6956,-67.0423,44.7055,-67.0196,2000-12-04T08:52:00Z,0:20,46.8,43.8,RA,1.16,,8.9,32.77,8.7,32.68
FL00,Fall,2000,78,5,3,41,44.6968,-66.9431,44.7153,-66.9389,2000-12-04T10:45:00Z,0:20,55.2,55.8,R,1.17,,,,,
SP01,Spring,2001,1,1,1,529,42.8747,-70.7338,42.8658,-70.7426,2001-04-23T08:11:00Z,0:20,19,19,RA,0.73,,3.6,32.35,6.5,28.68
SP01,Spring,2001,2,1,2,513,42.8902,-70.6854,42.8806,-70.6962,2001-04-23T09:36:00Z,0:20,31.1,28.8,R,0.74,,3.8,32.33,6.9,30.09
SP01,Spring,2001,4,1,1,417,42.9899,-70.6442,42.9795,-70.6548,2001-04-23T12:45:00Z,0:20,12,12,R,0.8,,5.2,31.29,,
SP01,Spring,2001,5,1,3,469,42.9601,-70.4636,42.9502,-70.474,2001-04-24T07:32:00Z,0:20,54.5,52,R,0.78,,3.6,32.39,6.5,30.64
SP01,Spring,2001,6,1,3,467,42.9595,-70.5217,42.9711,-70.5139,2001-04-24T09:40:00Z,0:21,46,47,R,0.76,,3.5,32.4,6.3,30.64
SP01,Spring,2001,7,1,2,278,43.1839,-70.4241,43.1746,-70.4297,2001-04-25T06:19:00Z,0:19,37,33,RA,0.63,,3.5,32.33,5.9,30.9
SP01,Spring,2001,9,1,3,268,43.1896,-70.384,43.1988,-70.3758,2001-04-25T09:56:00Z,0:18,46,44,RA,0.66,,3.5,32.36,6,31.04
SP01,Spring,2001,10,1,2,192,43.2783,-70.3802,43.2711,-70.3706,2001-04-25T13:40:00Z,0:17,31,36,R,0.62,,3.5,32.31,6.6,30.17
SP01,Spring,2001,11,1,3,225,43.2494,-70.3459,43.2564,-70.3572,2001-04-25T14:45:00Z,0:20,47,38,RA,0.67,,3.5,32.33,7.1,29.98
SP01,Spring,2001,12,1,1,185,43.2607,-70.5398,43.2727,-70.5312,2001-04-26T06:57:00Z,0:21,17,18,R,0.87,,3.4,32.1,5.4,30.81
SP01,Spring,2001,14,1,1,67,43.4343,-70.3116,43.4411,-70.3121,2001-04-26T11:53:00Z,0:20,20.6,15,RA,0.72,,3.5,32.1,6.5,29.71
SP01,Spring,2001,15,1,2,57,43.456,-70.257,43.4642,-70.2659,2001-04-26T13:11:00Z,0:17,35,29,RA,0.69,,3.5,32.24,7.4,29.34
SP01,Spring,2001,17,1,3,96,43.3874,-70.2391,43.3958,-70.2299,2001-04-27T09:39:00Z,0:20,48.6,48,R,0.66,,3.5,32.29,7.4,29.77
SP01,Spring,2001,19,1,2,47,43.4634,-70.2536,43.4625,-70.2701,2001-04-27T13:04:00Z,0:20,34,26,NA,0.73,,3.5,32.17,9.3,27.25
SP01,Spring,2001,20,1,1,5,43.5317,-70.2783,43.533,-70.2612,2001-04-27T14:35:00Z,0:20,12,12,R,0.75,,4.4,31.9,8.2,28.36
SP01,Spring,2001,23,2,1,362,43.6585,-70.0847,43.6487,-70.0967,2001-04-30T11:47:00Z,0:20,20,20,R,0.84,,3.8,31.97,5.9,30.75
SP01,Spring,2001,24,2,1,248,43.7266,-70.1596,43.7142,-70.1733,2001-04-30T13:20:00Z,0:20,6,7,R,0.94,,6.2,30.69,7.5,30.21
SP01,Spring,2001,25,2,2,331,43.6669,-69.9737,43.6548,-69.9749,2001-05-01T08:42:00Z,0:20,29.3,31.1,R,0.78,,3.7,32.09,7.7,25.19
SP01,Spring,2001,26,2,1,298,43.6901,-69.8886,43.6943,-69.9,2001-05-01T10:16:00Z,0:17,13,,R,0.7,,5.2,31.7,6.9,26.69
SP01,Spring,2001,27,2,2,334,43.6668,-69.9112,43.6788,-69.9043,2001-05-01T11:10:00Z,0:20,24,22,NA,0.91,,4,32.37,6.9,25
SP01,Spring,2001,29,2,3,491,43.5808,-69.8088,43.5914,-69.7983,2001-05-01T14:50:00Z,0:20,55,50,R,0.79,,3.5,32.28,7.3,31.01
SP01,Spring,2001,30,2,3,441,43.6351,-69.7553,43.6217,-69.7585,2001-05-01T16:40:00Z,0:20,45,44,R,0.96,,3.6,32.25,8.3,30.11
SP01,Spring,2001,33,2,3,494,43.5998,-69.7104,43.5904,-69.7143,2001-05-02T11:15:00Z,0:17,52.8,51,RA,0.7,,3.5,32.27,7.2,30.84
SP01,Spring,2001,35,2,1,108,43.8061,-69.6433,43.784,-69.6359,2001-05-02T14:31:00Z,0:21,16.9,,R,0.84,,4.1,32.18,7.6,31.07
SP01,Spring,2001,36,2,1,6,43.9143,-69.447,43.9017,-69.4572,2001-05-03T07:09:00Z,0:20,10.7,19.3,R,0.91,,4.1,31.94,8.2,31.48
SP01,Spring,2001,38,2,2,92,43.8176,-69.451,43.8082,-69.4604,2001-05-03T10:49:00Z,0:18,34,32,R,0.75,,3.6,32.23,7.9,30.29
SP01,Spring,2001,39,2,3,201,43.7488,-69.4735,43.76,-69.4827,2001-05-03T12:26:00Z,0:21,46,48,R,0.87,,3.5,32.26,8.1,29.7
SP01,Spring,2001,40,2,1,41,43.8579,-69.5279,43.8439,-69.5269,2001-05-03T14:13:00Z,0:20,14,20,NA,0.86,,4.1,32,9.8,30.2
SP01,Spring,2001,41,2,1,22,43.9053,-69.3391,43.9175,-69.3327,2001-05-04T07:34:00Z,0:20,12.7,12,R,0.8,,4.6,31.7,8.5,30.21
SP01,Spring,2001,42,2,3,173,43.7644,-69.3909,43.7771,-69.3821,2001-05-04T09:37:00Z,0:20,48.1,46.4,R,0.87,,3.6,32.19,8.2,30.23
SP01,Spring,2001,43,2,3,316,43.6774,-69.3777,43.6866,-69.3699,2001-05-04T13:21:00Z,0:17,61.8,57,RA,0.65,,3.5,32.24,9.2,30.44
SP01,Spring,2001,44,2,2,88,43.8005,-69.5445,43.8131,-69.5485,2001-05-04T15:54:00Z,0:20,32,28,NA,0.8,,4.1,32.13,,
SP01,Spring,2001,45,3,1,369,43.8856,-69.183,43.8785,-69.187,2001-05-07T08:25:00Z,0:15,19.2,17,R,0.65,,4.8,31.67,7.7,28.33
SP01,Spring,2001,48,3,2,427,43.8619,-69.0339,43.8542,-69.0324,2001-05-07T14:36:00Z,0:14,35.3,32,R,0.53,,4.8,31.93,6.2,31.39
SP01,Spring,2001,49,3,2,126,44.1309,-68.967,44.1255,-68.9838,2001-05-08T09:43:00Z,0:20,39.3,37.3,R,0.82,,4.3,31.68,7,30.01
SP01,Spring,2001,50,3,1,56,44.223,-68.9207,44.2106,-68.93,2001-05-08T11:25:00Z,0:16,25.9,22.7,R,0.89,,4.4,31.56,7.5,28.65
SP01,Spring,2001,52,3,1,3,44.3293,-68.8605,44.3197,-68.8724,2001-05-08T14:09:00Z,0:20,16,14,R,0.83,,4.1,31.49,7.8,26.73
SP01,Spring,2001,53,3,2,53,44.2329,-68.9854,44.2202,-68.9904,2001-05-08T16:36:00Z,0:19,25,30,R,0.83,,4.2,31.66,7.7,29.29
SP01,Spring,2001,54,3,2,77,44.1854,-68.991,44.1984,-68.9957,2001-05-08T17:56:00Z,0:20,34.6,29,R,0.86,,4.4,31.6,7.9,28.96
SP01,Spring,2001,55,3,3,844,43.5817,-69.0914,43.5831,-69.1057,2001-05-09T10:21:00Z,0:16,78.9,76.7,RA,0.65,,4,32.47,7.9,32.15
SP01,Spring,2001,56,3,3,836,43.6156,-68.937,43.603,-68.9464,2001-05-09T12:37:00Z,0:20,73.6,69,NA,0.87,,3.7,32.27,7.3,32.27
SP01,Spring,2001,57,3,3,328,43.9325,-68.865,43.9258,-68.8789,2001-05-10T07:59:00Z,0:19,50,42,R,0.83,,4.8,31.86,6.1,31.66
SP01,Spring,2001,58,3,3,259,43.9789,-68.71,43.9723,-68.7196,2001-05-10T10:06:00Z,0:16,42.3,36,R,0.65,,4.4,31.93,6.4,31.42
SP01,Spring,2001,59,3,1,143,44.1116,-68.7837,44.1033,-68.7709,2001-05-10T12:00:00Z,0:20,13.2,17.9,RA,0.78,,5.9,31.03,7,30.61
SP01,Spring,2001,60,3,1,48,44.2554,-68.7942,44.245,-68.7849,2001-05-10T13:51:00Z,0:20,14,17,R,0.77,,5.2,31.01,7.7,30.21
SP01,Spring,2001,62,3,3,564,43.7727,-68.7237,43.7587,-68.7303,2001-05-11T08:21:00Z,0:20,59.1,54.5,RA,0.89,,3.8,32.14,6.1,32.1
SP01,Spring,2001,63,3,3,387,43.8965,-68.6694,43.8842,-68.6753,2001-05-11T10:33:00Z,0:20,51.8,51.8,RA,0.82,,4,31.99,6.6,32.09
SP01,Spring,2001,66,3,3,337,43.9186,-68.6456,43.9267,-68.6553,2001-05-14T11:50:00Z,0:16,51.4,45.7,RA,0.85,,,,,
SP01,Spring,2001,67,4,3,495,44.001,-68.4697,44.0056,-68.4863,2001-05-14T15:12:00Z,0:20,47,40,R,0.79,,,,,
SP01,Spring,2001,68,4,1,309,44.1307,-68.4829,44.1216,-68.4782,2001-05-14T17:13:00Z,0:16,13,15,R,0.6,,,,,
SP01,Spring,2001,70,4,3,475,44.0224,-68.394,44.0099,-68.3986,2001-05-15T09:43:00Z,0:20,45.3,46,R,0.8,,,,,
SP01,Spring,2001,71,4,3,521,43.9917,-68.4197,43.9801,-68.4108,2001-05-15T11:06:00Z,0:20,47.1,49,R,0.83,,,,,
SP01,Spring,2001,73,4,3,562,43.9549,-68.4123,43.9612,-68.402,2001-05-15T15:17:00Z,0:16,51.8,50.5,R,0.6,,,,,
SP01,Spring,2001,76,4,3,432,44.0419,-68.2636,44.054,-68.2605,2001-05-16T11:09:00Z,0:20,51.7,47,RA,0.76,,,,,
SP01,Spring,2001,77,4,3,525,43.9838,-68.3137,43.9958,-68.3085,2001-05-16T12:47:00Z,0:20,51.7,54,R,0.78,,,,,
SP01,Spring,2001,78,4,1,993,44.4465,-68.305,44.4382,-68.293,2001-05-17T08:05:00Z,0:20,8,8,NA,0.74,,,,,
SP01,Spring,2001,79,4,1,5,44.4389,-68.2379,44.4331,-68.2229,2001-05-17T09:23:00Z,0:20,21.8,23.2,RA,0.76,,,,,
SP01,Spring,2001,80,4,1,15,44.4078,-68.2302,44.4022,-68.2141,2001-05-17T10:44:00Z,0:20,6.5,9,R,0.79,,,,,
SP01,Spring,2001,81,4,1,28,44.3938,-68.1133,44.3816,-68.1179,2001-05-17T12:13:00Z,0:19,16,18,R,0.8,,,,,
SP01,Spring,2001,84,4,2,142,44.2328,-68.1314,44.2468,-68.1299,2001-05-17T16:57:00Z,0:21,37,30,RA,0.87,,,,,
SP01,Spring,2001,85,4,3,273,44.1627,-67.8787,44.155,-67.8951,2001-05-18T09:07:00Z,0:20,55.8,53.6,RA,0.87,,,,,
SP01,Spring,2001,86,4,3,270,44.1598,-67.9554,44.1528,-67.9714,2001-05-18T10:29:00Z,0:20,48,46,R,0.83,,,,,
SP01,Spring,2001,87,4,2,130,44.2477,-67.9992,44.2412,-68.0147,2001-05-18T12:41:00Z,0:20,35.9,40.5,RA,0.8,,,,,
SP01,Spring,2001,88,4,2,99,44.291,-68.0019,44.2834,-68.0165,2001-05-18T14:04:00Z,0:20,34,34.9,R,0.79,,,,,
SP01,Spring,2001,90,5,2,534,44.3085,-67.872,44.3194,-67.8626,2001-05-21T10:36:00Z,0:20,33,32,RA,0.84,,,,,
SP01,Spring,2001,92,5,1,291,44.4583,-67.7886,44.4505,-67.7979,2001-05-21T15:32:00Z,0:17,18.6,18.6,RA,0.91,,,,,
SP01,Spring,2001,94,5,3,611,44.2484,-67.7988,44.2411,-67.8152,2001-05-22T11:25:00Z,0:20,49.7,46.6,R,0.86,,,,,
SP01,Spring,2001,96,5,3,569,44.2972,-67.6049,44.2909,-67.6209,2001-05-22T14:56:00Z,0:20,45,50,R,0.86,,,,,
SP01,Spring,2001,97,5,3,572,44.3012,-67.4991,44.2937,-67.5146,2001-05-22T16:28:00Z,0:20,62,58,R,0.86,,,,,
SP01,Spring,2001,98,5,2,369,44.4141,-67.5695,44.4088,-67.5856,2001-05-23T06:32:00Z,0:20,35.1,35.9,R,0.84,,,,,
SP01,Spring,2001,99,5,3,339,44.4259,-67.4499,44.4191,-67.4661,2001-05-23T08:18:00Z,0:20,42.2,44.1,R,0.87,,,,,
SP01,Spring,2001,100,5,2,223,44.4822,-67.3225,44.4959,-67.3246,2001-05-23T10:27:00Z,0:20,35,33.9,R,1.03,,,,,
SP01,Spring,2001,102,5,1,98,44.6051,-67.3563,44.6056,-67.3378,2001-05-23T16:59:00Z,0:20,17,16.4,R,0.81,,,,,
SP01,Spring,2001,103,5,1,173,44.5423,-67.5018,44.5487,-67.4879,2001-05-23T18:41:00Z,0:18,16.3,16.1,NA,0.75,,,,,
SP01,Spring,2001,104,5,3,351,44.4251,-67.1332,44.4285,-67.1484,2001-05-24T07:32:00Z,0:20,54,57,RA,0.77,,,,,
SP01,Spring,2001,105,5,3,388,44.405,-67.0638,44.4072,-67.0775,2001-05-24T09:03:00Z,0:18,71,58,RA,0.64,,,,,
SP01,Spring,2001,106,5,3,46,44.6993,-67.0459,44.6879,-67.0486,2001-05-24T14:35:00Z,0:11,44.9,45,RA,0.7,,,,,
SP01,Spring,2001,107,5,3,64,44.6618,-67.0857,44.6501,-67.0992,2001-05-24T15:53:00Z,0:20,45,45.3,RA,0.96,,,,,
SP01,Spring,2001,109,5,3,18,44.7537,-66.9333,44.7478,-66.948,2001-05-25T07:06:00Z,0:20,47,47.5,RA,0.77,,,,,
SP01,Spring,2001,110,5,1,27,44.7137,-67.0976,44.728,-67.0845,2001-05-25T08:52:00Z,0:20,24.6,20.9,R,1.06,,,,,
SP01,Spring,2001,111,5,2,43,44.684,-67.1283,44.6964,-67.1134,2001-05-25T10:25:00Z,0:20,35.5,33,R,1.01,,,,,
FL01,Fall,2001,2,1,2,513,42.879,-70.6959,42.8915,-70.685,2001-09-24T09:21:00Z,0:20,27,30,R,0.89,,,,,
FL01,Fall,2001,3,1,2,546,42.8728,-70.6595,42.8605,-70.6708,2001-09-24T11:00:00Z,0:20,35,32.7,R,0.89,,,,,
FL01,Fall,2001,4,1,1,543,42.8608,-70.7365,42.8466,-70.7403,2001-09-24T12:25:00Z,0:20,19,18.3,RA,0.88,,,,,
FL01,Fall,2001,5,1,3,687,43.0499,-70.3564,43.0414,-70.3722,2001-09-25T08:23:00Z,0:20,65.5,63.1,R,0.88,,,,,
