Season,Year,Tow_Number,Region,Stratum,Common_name,Length,Unit_of_Length,Weight_in_grams,Sex,Maturity_stage
Spring,2003,96,5,2,Plaice American (Dab),25,CM,110,Male,S
Spring,2003,96,5,2,Plaice American (Dab),40,CM,644,Female,R
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),28,CM,122,Female,I
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),32,CM,190,Male,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),27,CM,109,Male,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),37,CM,360,Female,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),35,CM,230,Male,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),33,CM,190,Female,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),26,CM,106,Female,I
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),29,CM,148,Female,I
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),27,CM,122,Male,I
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),32,CM,177,Female,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),38,CM,342,Female,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),35,CM,225,Male,D
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),34,CM,206,Male,S
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),36,CM,300,Male,T
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),37,CM,256,Female,I
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),35,CM,288,Male,D
Spring,2003,92,5,4,Flounder Atlantic Witch (Gray Sole),24,CM,76,Male,I
Spring,2003,92,5,4,Pollock,74,CM,2640,Female,T
Spring,2003,92,5,4,Haddock,45,CM,859,Female,S
Spring,2003,92,5,4,Haddock,49,CM,1119,Female,T
Spring,2003,92,5,4,Haddock,49,CM,1029,Female,S
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),32,CM,19,Male,S
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),29,CM,133,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),27,CM,109,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),24,CM,75,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),34,CM,232,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),38,CM,307,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),30,CM,145,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),25,CM,98,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),28,CM,115,Male,S
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),31,CM,159,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),34,CM,256,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),22,CM,53,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),30,CM,171,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),23,CM,55,Male,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),33,CM,230,Female,D
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),32,CM,176,Male,T
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),31,CM,160,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),30,CM,166,Female,I
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),31,CM,190,Male,S
Spring,2003,90,5,4,Flounder Atlantic Witch (Gray Sole),30,CM,165,Male,T
Spring,2003,85,5,4,Cod Atlantic,30,CM,237,Male,R
Spring,2003,81,4,3,Flounder Winter,16,CM,44,Male,R
Spring,2003,81,4,3,Flounder Winter,31,CM,304,Female,S
Spring,2003,81,4,3,Flounder Winter,17,CM,48,Female,I
Spring,2003,81,4,3,Flounder Winter,29,CM,240,Female,D
Spring,2003,81,4,3,Flounder Winter,20,CM,82,Male,R
Spring,2003,81,4,3,Flounder Winter,19,CM,59,Female,I
Spring,2003,81,4,3,Flounder Winter,21,CM,102,Male,R
Spring,2003,81,4,3,Flounder Winter,19,CM,63,Female,R
Spring,2003,81,4,3,Flounder Winter,16,CM,44,Female,I
Spring,2003,81,4,3,Flounder Winter,23,CM,113,Male,T
Spring,2003,81,4,3,Flounder Winter,27,CM,234,Female,D
Spring,2003,78,4,2,Flounder Winter,14,CM,30,Male,S
Spring,2003,78,4,2,Flounder Winter,18,CM,73,Female,I
Spring,2003,78,4,2,Flounder Winter,28,CM,251,Female,T
Spring,2003,78,4,2,Flounder Winter,15,CM,34,Male,I
Spring,2003,78,4,2,Flounder Winter,22,CM,112,Female,T
Spring,2003,78,4,2,Flounder Winter,10,CM,19,Female,I
Spring,2003,77,4,1,Flounder Winter,19,CM,80,Female,I
Spring,2003,77,4,1,Flounder Winter,17,CM,50,Male,D
Spring,2003,77,4,1,Flounder Winter,15,CM,39,Female,I
Spring,2003,77,4,1,Flounder Winter,17,CM,51,Male,T
Spring,2003,77,4,1,Flounder Winter,18,CM,68,Male,I
Spring,2003,77,4,1,Flounder Winter,17,CM,55,Female,I
Spring,2003,77,4,1,Flounder Winter,17,CM,56,Male,I
Spring,2003,77,4,1,Flounder Winter,15,CM,41,Female,I
Spring,2003,77,4,1,Flounder Winter,19,CM,87,Male,I
Spring,2003,77,4,1,Flounder Winter,22,CM,111,Female,T
Spring,2003,77,4,1,Flounder Winter,14,CM,29,Female,I
Spring,2003,77,4,1,Flounder Winter,17,CM,60,Female,I
Spring,2003,77,4,1,Flounder Winter,23,CM,176,Female,T
Spring,2003,77,4,1,Flounder Winter,19,CM,84,Female,I
Spring,2003,77,4,1,Flounder Winter,19,CM,80,Male,I
Spring,2003,77,4,1,Flounder Winter,18,CM,72,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),20,CM,41,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),30,CM,147,Male,T
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),24,CM,80,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),19,CM,37,Male,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),29,CM,140,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),21,CM,63,Male,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),26,CM,101,Male,T
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),24,CM,80,Male,T
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),35,CM,233,Male,D
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),24,CM,89,Male,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),25,CM,100,Female,D
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),32,CM,190,Male,R
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),23,CM,61,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),24,CM,79,Male,S
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),26,CM,90,Female,I
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),26,CM,101,Male,T
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),41,CM,459,Female,D
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),29,CM,142,Male,S
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),26,CM,98,Male,S
Spring,2003,76,4,4,Flounder Atlantic Witch (Gray Sole),24,CM,72,Female,I
Spring,2003,76,4,4,Plaice American (Dab),30,CM,228,Male,R
Spring,2003,76,4,4,Plaice American (Dab),35,CM,362,Female,D
Spring,2003,76,4,4,Plaice American (Dab),27,CM,162,Male,R
Spring,2003,76,4,4,Plaice American (Dab),38,CM,412,Female,S
Spring,2003,76,4,4,Plaice American (Dab),38,CM,545,Female,D
Spring,2003,76,4,4,Plaice American (Dab),41,CM,596,Female,D
Spring,2003,76,4,4,Hake White,30,CM,189,Male,I
Spring,2003,76,4,4,Hake White,32,CM,259,Male,I
Spring,2003,76,4,4,Hake White,28,CM,169,Female,I
Spring,2003,76,4,4,Hake White,34,CM,279,Male,I
Spring,2003,76,4,4,Hake White,32,CM,222,Male,I
Spring,2003,76,4,4,Hake White,31,CM,244,Male,I
Spring,2003,76,4,4,Hake White,30,CM,194,Male,I
Spring,2003,76,4,4,Hake White,31,CM,194,Female,I
Spring,2003,67,4,3,Plaice American (Dab),16,CM,27,Male,T
Spring,2003,67,4,3,Plaice American (Dab),18,CM,40,Female,I
Spring,2003,67,4,3,Plaice American (Dab),31,CM,262,Male,R
Spring,2003,67,4,3,Plaice American (Dab),20,CM,54,Male,S
Spring,2003,67,4,3,Plaice American (Dab),34,CM,276,Female,D
Spring,2003,67,4,3,Plaice American (Dab),26,CM,124,Female,R
Spring,2003,67,4,3,Plaice American (Dab),23,CM,106,Male,I
Spring,2003,67,4,3,Plaice American (Dab),20,CM,51,Male,S
Spring,2003,67,4,3,Plaice American (Dab),27,CM,133,Male,T
Spring,2003,67,4,3,Plaice American (Dab),18,CM,38,Male,T
Spring,2003,67,4,3,Plaice American (Dab),25,CM,101,Male,S
Spring,2003,67,4,3,Plaice American (Dab),16,CM,25,Male,T
Spring,2003,67,4,3,Plaice American (Dab),29,CM,180,Male,S
Spring,2003,60,3,3,Cod Atlantic,24,CM,140,Male,R
Spring,2003,59,3,3,Flounder Winter,22,CM,123,Female,I
Spring,2003,59,3,3,Flounder Winter,30,CM,311,Female,T
Spring,2003,59,3,3,Flounder Winter,20,CM,81,Female,T
Spring,2003,59,3,3,Flounder Winter,16,CM,41,Female,I
Spring,2003,59,3,3,Flounder Winter,16,CM,53,Female,I
Spring,2003,56,3,3,Flounder Winter,19,CM,76,Male,R
Spring,2003,56,3,3,Flounder Winter,17,CM,50,Female,I
Spring,2003,56,3,3,Flounder Winter,19,CM,73,Female,I
Spring,2003,56,3,3,Flounder Winter,19,CM,63,Female,I
Spring,2003,56,3,3,Flounder Winter,15,CM,37,Male,I
Spring,2003,56,3,3,Flounder Winter,18,CM,73,Male,I
Spring,2003,56,3,3,Flounder Winter,22,CM,118,Female,I
Spring,2003,56,3,3,Flounder Winter,20,CM,99,Female,I
Spring,2003,56,3,3,Flounder Winter,18,CM,63,Female,I
Spring,2003,56,3,3,Flounder Winter,14,CM,27,Female,I
Spring,2003,53,3,4,Plaice American (Dab),31,CM,230,Female,D
Spring,2003,53,3,4,Plaice American (Dab),46,CM,936,Female,D
Spring,2003,53,3,4,Plaice American (Dab),35,CM,338,Female,D
Spring,2003,53,3,4,Plaice American (Dab),26,CM,138,Male,S
Spring,2003,53,3,4,Plaice American (Dab),34,CM,282,Female,S
Spring,2003,53,3,4,Plaice American (Dab),35,CM,284,Female,D
Spring,2003,53,3,4,Plaice American (Dab),18,CM,48,Male,I
Spring,2003,53,3,4,Plaice American (Dab),15,CM,37,Male,S
Spring,2003,53,3,4,Plaice American (Dab),17,CM,52,Female,I
Spring,2003,53,3,4,Plaice American (Dab),22,CM,104,Male,T
Spring,2003,53,3,4,Plaice American (Dab),33,CM,274,Female,D
Spring,2003,53,3,4,Plaice American (Dab),16,CM,38,Male,I
Spring,2003,53,3,4,Plaice American (Dab),30,CM,224,Female,T
Spring,2003,53,3,4,Plaice American (Dab),33,CM,270,Female,D
Spring,2003,53,3,4,Plaice American (Dab),33,CM,240,Female,D
Spring,2003,53,3,4,Plaice American (Dab),37,CM,374,Female,D
Spring,2003,53,3,4,Plaice American (Dab),37,CM,586,Female,T
Spring,2003,53,3,4,Plaice American (Dab),31,CM,248,Female,D
Spring,2003,53,3,4,Plaice American (Dab),27,CM,178,Female,D
Spring,2003,53,3,4,Plaice American (Dab),33,CM,242,Female,D
Spring,2003,53,3,4,Plaice American (Dab),29,CM,200,Male,R
Spring,2003,53,3,4,Plaice American (Dab),20,CM,60,Female,I
Spring,2003,53,3,4,Plaice American (Dab),19,CM,64,Male,I
Spring,2003,53,3,4,Plaice American (Dab),29,CM,220,Female,D
Spring,2003,53,3,4,Plaice American (Dab),34,CM,333,Female,D
Spring,2003,53,3,4,Plaice American (Dab),35,CM,310,Female,S
Spring,2003,53,3,4,Plaice American (Dab),27,CM,170,Female,D
Spring,2003,53,3,4,Plaice American (Dab),47,CM,950,Female,D
Spring,2003,53,3,4,Plaice American (Dab),25,CM,106,Male,R
Spring,2003,53,3,4,Plaice American (Dab),33,CM,338,Female,D
Spring,2003,53,3,4,Plaice American (Dab),35,CM,402,Female,D
Spring,2003,53,3,4,Plaice American (Dab),22,CM,74,Male,T
Spring,2003,53,3,4,Plaice American (Dab),18,CM,44,Male,I
Spring,2003,53,3,4,Plaice American (Dab),38,CM,454,Female,D
Spring,2003,53,3,4,Plaice American (Dab),19,CM,57,Female,I
Spring,2003,51,3,1,Flounder Winter,16,CM,41,Female,I
Spring,2003,51,3,1,Flounder Winter,21,CM,97,Female,I
Spring,2003,51,3,1,Flounder Winter,15,CM,34,Male,I
Spring,2003,51,3,1,Flounder Winter,21,CM,102,Female,S
Spring,2003,51,3,1,Flounder Winter,15,CM,31,Female,I
Spring,2003,51,3,1,Flounder Winter,21,CM,87,Female,S
Spring,2003,42,3,3,Flounder Winter,14,CM,20,Male,U
Spring,2003,42,3,3,Plaice American (Dab),22,CM,67,Male,T
Spring,2003,42,3,3,Plaice American (Dab),27,CM,29,Male,R
Spring,2003,42,3,3,Plaice American (Dab),35,CM,381,Female,R
Spring,2003,42,3,3,Plaice American (Dab),37,CM,305,Female,T
Spring,2003,42,3,3,Plaice American (Dab),27,CM,122,Male,S
Spring,2003,42,3,3,Plaice American (Dab),22,CM,72,Male,S
Spring,2003,42,3,3,Plaice American (Dab),30,CM,164,Male,T
Spring,2003,42,3,3,Plaice American (Dab),30,CM,182,Male,S
Spring,2003,42,3,3,Plaice American (Dab),21,CM,60,Male,R
Spring,2003,42,3,3,Plaice American (Dab),26,CM,135,Male,S
Spring,2003,42,3,3,Plaice American (Dab),27,CM,127,Male,S
Spring,2003,42,3,3,Plaice American (Dab),36,CM,320,Female,S
Spring,2003,42,3,3,Plaice American (Dab),21,CM,51,Male,R
Spring,2003,42,3,3,Plaice American (Dab),17,CM,28,Male,S
Spring,2003,42,3,3,Plaice American (Dab),17,CM,30,Male,T
Spring,2003,42,3,3,Plaice American (Dab),26,CM,106,Male,R
Spring,2003,42,3,3,Plaice American (Dab),28,CM,149,Male,S
Spring,2003,42,3,3,Plaice American (Dab),17,CM,27,Male,S
Spring,2003,42,3,3,Plaice American (Dab),17,CM,29,Male,S
Spring,2003,42,3,3,Plaice American (Dab),26,CM,106,Male,R
Spring,2003,42,3,3,Plaice American (Dab),17,CM,29,Male,I
Spring,2003,42,3,3,Plaice American (Dab),28,CM,153,Female,D
Spring,2003,42,3,3,Plaice American (Dab),16,CM,31,Male,S
Spring,2003,42,3,3,Plaice American (Dab),16,CM,23,Male,T
Spring,2003,42,3,3,Plaice American (Dab),28,CM,151,Male,T
Spring,2003,40,2,3,Plaice American (Dab),29,CM,142,Female,D
Spring,2003,40,2,3,Plaice American (Dab),19,CM,60,Female,D
Spring,2003,40,2,3,Plaice American (Dab),26,CM,112,Male,S
Spring,2003,40,2,3,Plaice American (Dab),31,CM,203,Female,R
Spring,2003,40,2,3,Plaice American (Dab),21,CM,81,Female,I
Spring,2003,40,2,3,Plaice American (Dab),22,CM,75,Male,D
Spring,2003,40,2,3,Plaice American (Dab),32,CM,186,Female,D
Spring,2003,40,2,3,Plaice American (Dab),16,CM,54,Male,D
Spring,2003,40,2,3,Plaice American (Dab),19,CM,41,Male,D
Spring,2003,40,2,3,Plaice American (Dab),23,CM,87,Male,R
Spring,2003,40,2,3,Plaice American (Dab),27,CM,168,Female,S
Spring,2003,40,2,3,Plaice American (Dab),21,CM,68,Male,I
Spring,2003,40,2,3,Plaice American (Dab),25,CM,46,Female,D
Spring,2003,40,2,3,Plaice American (Dab),15,CM,32,Male,I
Spring,2003,40,2,3,Plaice American (Dab),21,CM,67,Male,I
Spring,2003,40,2,3,Plaice American (Dab),20,CM,62,Male,D
Spring,2003,40,2,3,Plaice American (Dab),21,CM,65,Male,R
Spring,2003,40,2,3,Plaice American (Dab),27,CM,182,Male,R
Spring,2003,40,2,3,Plaice American (Dab),30,CM,194,Male,D
Spring,2003,40,2,3,Plaice American (Dab),15,CM,27,Female,I
Spring,2003,40,2,3,Plaice American (Dab),28,CM,204,Male,D
Spring,2003,40,2,3,Plaice American (Dab),16,CM,30,Male,I
Spring,2003,40,2,3,Plaice American (Dab),19,CM,50,Female,I
Spring,2003,40,2,3,Plaice American (Dab),16,CM,57,Male,I
Spring,2003,40,2,3,Plaice American (Dab),29,CM,157,Female,R
Spring,2003,40,2,3,Plaice American (Dab),22,CM,82,Male,R
Spring,2003,40,2,3,Plaice American (Dab),13,CM,19,Female,I
Spring,2003,40,2,3,Plaice American (Dab),14,CM,25,Male,D
Spring,2003,40,2,3,Plaice American (Dab),25,CM,117,Female,D
Spring,2003,40,2,3,Plaice American (Dab),17,CM,55,Male,D
Spring,2003,40,2,3,Plaice American (Dab),27,CM,137,Male,R
Spring,2003,39,2,3,Plaice American (Dab),46,CM,864,Female,R
Spring,2003,39,2,3,Plaice American (Dab),34,CM,376,Male,R
Spring,2003,39,2,3,Plaice American (Dab),33,CM,227,Female,S
Spring,2003,39,2,3,Plaice American (Dab),31,CM,188,Male,T
Spring,2003,39,2,3,Plaice American (Dab),43,CM,746,Female,R
Spring,2003,39,2,3,Plaice American (Dab),17,CM,27,Male,R
Spring,2003,39,2,3,Plaice American (Dab),30,CM,193,Female,S
Spring,2003,39,2,3,Plaice American (Dab),25,CM,96,Female,I
Spring,2003,39,2,3,Plaice American (Dab),22,CM,75,Female,I
Spring,2003,39,2,3,Plaice American (Dab),28,CM,140,Male,S
Spring,2003,39,2,3,Plaice American (Dab),33,CM,277,Male,R
Spring,2003,39,2,3,Plaice American (Dab),32,CM,277,Female,D
Spring,2003,39,2,3,Plaice American (Dab),18,CM,43,Male,R
Spring,2003,39,2,3,Plaice American (Dab),27,CM,140,Female,T
Spring,2003,39,2,3,Plaice American (Dab),37,CM,403,Female,R
Spring,2003,39,2,3,Plaice American (Dab),28,CM,163,Female,D
Spring,2003,39,2,3,Plaice American (Dab),35,CM,295,Female,D
Spring,2003,39,2,3,Plaice American (Dab),16,CM,32,Male,S
Spring,2003,39,2,3,Plaice American (Dab),36,CM,449,Female,R
Spring,2003,39,2,3,Plaice American (Dab),22,CM,69,Male,S
Spring,2003,39,2,3,Plaice American (Dab),30,CM,219,Female,D
Spring,2003,39,2,3,Plaice American (Dab),33,CM,248,Female,D
Spring,2003,39,2,3,Plaice American (Dab),33,CM,299,Female,S
Spring,2003,39,2,3,Plaice American (Dab),18,CM,34,Female,I
Spring,2003,39,2,3,Plaice American (Dab),23,CM,74,Male,R
Spring,2003,36,2,4,Plaice American (Dab),16,CM,27,Male,D
Spring,2003,36,2,4,Plaice American (Dab),32,CM,241,Female,D
Spring,2003,36,2,4,Plaice American (Dab),27,CM,169,Female,D
Spring,2003,36,2,4,Plaice American (Dab),17,CM,32,Male,I
Spring,2003,36,2,4,Plaice American (Dab),24,CM,91,Male,R
Spring,2003,36,2,4,Plaice American (Dab),14,CM,27,Male,I
Spring,2003,36,2,4,Plaice American (Dab),35,CM,324,Female,S
Spring,2003,36,2,4,Plaice American (Dab),29,CM,151,Female,D
Spring,2003,36,2,4,Plaice American (Dab),18,CM,46,Female,I
Spring,2003,36,2,4,Plaice American (Dab),37,CM,398,Female,D
Spring,2003,36,2,4,Plaice American (Dab),31,CM,172,Male,R
Spring,2003,36,2,4,Plaice American (Dab),33,CM,294,Female,D
Spring,2003,36,2,4,Plaice American (Dab),14,CM,20,Male,D
Spring,2003,36,2,4,Plaice American (Dab),25,CM,123,Male,D
Spring,2003,36,2,4,Plaice American (Dab),26,CM,108,Female,D
Spring,2003,36,2,4,Plaice American (Dab),14,CM,22,Male,I
Spring,2003,36,2,4,Plaice American (Dab),40,CM,609,Female,D
Spring,2003,34,2,3,Flounder Winter,31,CM,368,Female,T
Spring,2003,34,2,3,Plaice American (Dab),34,CM,278,Female,D
Spring,2003,34,2,3,Plaice American (Dab),29,CM,194,Female,D
Spring,2003,34,2,3,Plaice American (Dab),18,CM,38,Male,I
Spring,2003,34,2,3,Plaice American (Dab),18,CM,40,Male,I
Spring,2003,34,2,3,Plaice American (Dab),25,CM,135,Female,S
Spring,2003,34,2,3,Plaice American (Dab),46,CM,790,Female,D
Spring,2003,34,2,3,Plaice American (Dab),27,CM,131,Male,R
Spring,2003,34,2,3,Plaice American (Dab),18,CM,78,Female,I
Spring,2003,31,2,2,Cod Atlantic,89,CM,7740,Female,U
Spring,2003,30,2,1,Flounder Winter,16,CM,35,Female,I
Spring,2003,30,2,1,Flounder Winter,17,CM,54,Female,T
Spring,2003,30,2,1,Flounder Winter,21,CM,96,Female,T
Spring,2003,30,2,1,Flounder Winter,14,CM,28,Male,I
Spring,2003,30,2,1,Flounder Winter,15,CM,33,Female,I
Spring,2003,30,2,1,Flounder Winter,27,CM,216,Male,T
Spring,2003,30,2,1,Flounder Winter,18,CM,61,Female,T
Spring,2003,30,2,1,Flounder Winter,15,CM,32,Male,I
Spring,2003,30,2,1,Flounder Winter,16,CM,38,Female,I
Spring,2003,30,2,1,Flounder Winter,17,CM,47,Male,I
Spring,2003,30,2,1,Flounder Winter,16,CM,39,Female,I
Spring,2003,30,2,1,Flounder Winter,20,CM,78,Female,I
Spring,2003,30,2,1,Flounder Winter,21,CM,99,Female,T
Spring,2003,26,2,2,Flounder Winter,19,CM,74,Female,I
Spring,2003,26,2,2,Flounder Winter,20,CM,84,Female,I
Spring,2003,26,2,2,Flounder Winter,20,CM,89,Female,I
Spring,2003,26,2,2,Flounder Winter,21,CM,103,Female,T
Spring,2003,26,2,2,Flounder Winter,16,CM,42,Female,I
Spring,2003,26,2,2,Flounder Winter,22,CM,129,Female,I
Spring,2003,26,2,2,Flounder Winter,19,CM,69,Female,I
Spring,2003,26,2,2,Flounder Winter,18,CM,70,Female,I
Spring,2003,26,2,2,Flounder Winter,20,CM,87,Female,I
Spring,2003,26,2,2,Flounder Winter,25,CM,154,Female,S
Spring,2003,26,2,2,Flounder Winter,16,CM,41,Male,I
Spring,2003,26,2,2,Flounder Winter,19,CM,74,Female,I
Spring,2003,26,2,2,Flounder Winter,19,CM,79,Male,I
Spring,2003,26,2,2,Flounder Winter,16,CM,41,Female,I
Spring,2003,26,2,2,Flounder Winter,20,CM,96,Female,I
Spring,2003,26,2,2,Flounder Winter,25,CM,199,Female,T
Spring,2003,26,2,2,Flounder Winter,20,CM,99,Female,T
Spring,2003,26,2,2,Flounder Winter,22,CM,118,Female,I
Spring,2003,26,2,2,Flounder Winter,16,CM,47,Male,I
Spring,2003,26,2,2,Flounder Winter,20,CM,96,Female,I
Spring,2003,26,2,2,Flounder Winter,16,CM,48,Female,I
Spring,2003,26,2,2,Flounder Winter,20,CM,89,Female,I
Spring,2003,26,2,2,Flounder Winter,16,CM,41,Male,S
Spring,2003,26,2,2,Flounder Winter,25,CM,192,Female,T
Spring,2003,26,2,2,Flounder Winter,16,CM,46,Male,I
Spring,2003,25,2,2,Flounder Winter,17,CM,48,Female,I
Spring,2003,25,2,2,Flounder Winter,17,CM,54,Female,I
Spring,2003,25,2,2,Flounder Winter,22,CM,147,Female,T
Spring,2003,25,2,2,Flounder Winter,22,CM,12,Female,D
Spring,2003,25,2,2,Flounder Winter,20,CM,99,Female,I
Spring,2003,25,2,2,Flounder Winter,19,CM,84,Female,I
Spring,2003,25,2,2,Flounder Winter,15,CM,37,Male,I
Spring,2003,25,2,2,Flounder Winter,17,CM,48,Female,I
Spring,2003,25,2,2,Flounder Winter,22,CM,137,Female,T
Spring,2003,25,2,2,Flounder Winter,20,CM,91,Female,I
Spring,2003,25,2,2,Flounder Winter,16,CM,49,Female,I
Spring,2003,25,2,2,Flounder Winter,16,CM,43,Male,I
Spring,2003,25,2,2,Flounder Winter,17,CM,51,Female,I
Spring,2003,25,2,2,Flounder Winter,15,CM,37,Female,I
Spring,2003,25,2,2,Flounder Winter,20,CM,97,Female,T
Spring,2003,25,2,2,Flounder Winter,16,CM,36,Female,I
Spring,2003,25,2,2,Flounder Winter,10,CM,18,Male,I
Spring,2003,25,2,2,Flounder Winter,17,CM,54,Male,I
Spring,2003,25,2,2,Flounder Winter,15,CM,36,Female,I
Spring,2003,25,2,2,Flounder Winter,17,CM,77,Female,I
Spring,2003,23,2,4,Plaice American (Dab),23,CM,78,Male,S
Spring,2003,23,2,4,Plaice American (Dab),26,CM,112,Male,R
Spring,2003,23,2,4,Plaice American (Dab),19,CM,47,Male,I
Spring,2003,23,2,4,Plaice American (Dab),33,CM,266,Female,D
Spring,2003,23,2,4,Plaice American (Dab),46,CM,836,Female,D
Spring,2003,23,2,4,Plaice American (Dab),26,CM,131,Female,D
Spring,2003,23,2,4,Plaice American (Dab),33,CM,250,Male,R
