SampleID,Month,Day,Year,StationName,DescriptionofArea,CommonName,Count
1997005,6,12,1997,Upper Piscataqua (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",1
1997005,6,12,1997,Upper Piscataqua (BS),Piscataqua River,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997005,6,12,1997,Upper Piscataqua (BS),Piscataqua River,"FLOUNDER, SMOOTH",4
1997005,6,12,1997,Upper Piscataqua (BS),Piscataqua River,"KILLIFISH, STRIPED",1
1997005,6,12,1997,Upper Piscataqua (BS),Piscataqua River,"CRAB, GREEN",6
1997006,6,12,1997,Oyster River (BS),Little Bay/Great Bay,"HERRING, ATLANTIC",13
1997006,6,12,1997,Oyster River (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",34
1997006,6,12,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",1
1997006,6,12,1997,Oyster River (BS),Little Bay/Great Bay,GRUBBY,1
1997006,6,12,1997,Oyster River (BS),Little Bay/Great Bay,"TOMCOD, ATLANTIC",136
1997007,6,25,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"HERRING, ATLANTIC",752
1997007,6,25,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",13
1997008,6,25,1997,Brown's River (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",1
1997009,6,25,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997009,6,25,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",50
1997010,6,25,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"BASS, STRIPED",1
1997010,6,25,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",3
1997010,6,25,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",4
1997011,6,26,1997,Wentworth (Little Harbor)(BS),Little Harbor,"FLOUNDER, WINTER (BLACKBACK)",1
1997011,6,26,1997,Wentworth (Little Harbor)(BS),Little Harbor,MUMMICHOG (COMMON KILLIFISH) (MARINE),2
1997012,6,26,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"SCULPIN, SHORTHORN",1
1997012,6,26,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"FLOUNDER, SMOOTH",2
1997012,6,26,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"CRAB, GREEN",1
1997013,6,26,1997,Odiorne Beach (BS),Little Harbor,"SCULPIN, SHORTHORN",1
1997013,6,26,1997,Odiorne Beach (BS),Little Harbor,"SMELT, RAINBOW (MARINE)",1
1997013,6,26,1997,Odiorne Beach (BS),Little Harbor,"CRAB, GREEN",10
1997013,6,26,1997,Odiorne Beach (BS),Little Harbor,"CRAB, ROCK",1
1997014,6,27,1997,Schiller Plant (BS),Piscataqua River,"CRAB, GREEN",32
1997014,6,27,1997,Schiller Plant (BS),Piscataqua River,"CRAB, ROCK",4
1997014,6,27,1997,Schiller Plant (BS),Piscataqua River,"SCULPIN, SHORTHORN",5
1997014,6,27,1997,Schiller Plant (BS),Piscataqua River,"GUNNEL, ROCK",1
1997014,6,27,1997,Schiller Plant (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",1
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",4
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,"SCULPIN, SHORTHORN",1
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",3
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,HERRING (UNCLASSIFIED) (MARINE),2
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,"TOMCOD, ATLANTIC",2
1997015,6,27,1997,Fox Point (BS),Little Bay/Great Bay,"PIPEFISH, NORTHERN",1
1997016,7,9,1997,Schiller Plant (BS),Piscataqua River,"CRAB, GREEN",14
1997016,7,9,1997,Schiller Plant (BS),Piscataqua River,"TOMCOD, ATLANTIC",2
1997017,7,9,1997,General Sullivan Cove (BS),Piscataqua River,"HERRING, ATLANTIC",12736
1997017,7,9,1997,General Sullivan Cove (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",1
1997017,7,9,1997,General Sullivan Cove (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",78
1997017,7,9,1997,General Sullivan Cove (BS),Piscataqua River,"SHAD, AMERICAN (MARINE)",1
1997017,7,9,1997,General Sullivan Cove (BS),Piscataqua River,"CRAB, GREEN",2
1997018,7,9,1997,Upper Piscataqua (BS),Piscataqua River,"FLOUNDER, SMOOTH",1
1997018,7,9,1997,Upper Piscataqua (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",4
1997018,7,9,1997,Upper Piscataqua (BS),Piscataqua River,"CRAB, GREEN",4
1997018,7,9,1997,Upper Piscataqua (BS),Piscataqua River,HERRING (UNCLASSIFIED) (MARINE),1
1997018,7,9,1997,Upper Piscataqua (BS),Piscataqua River,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997019,7,10,1997,Broad Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",2
1997019,7,10,1997,Broad Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",8
1997019,7,10,1997,Broad Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",21
1997019,7,10,1997,Broad Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),11
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"HERRING, ATLANTIC",28
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"CRAB, HORSESHOE",1
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"CRAB, GREEN",11
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",38
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"STICKLEBACK, THREESPINE",1
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",3
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"HAKE, WHITE",1
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",1
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",2
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,"TOMCOD, ATLANTIC",1
1997020,7,10,1997,Oyster River (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),9
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",27
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"CRAB, HORSESHOE",3
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",1
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, THREESPINE",11
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",1
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",36
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",4
1997021,7,10,1997,Herod's Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),39
1997022,7,10,1997,Moody Point(BS),Little Bay/Great Bay,"CRAB, GREEN",9
1997022,7,10,1997,Moody Point(BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",5
1997022,7,10,1997,Moody Point(BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",1
1997022,7,10,1997,Moody Point(BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),9
1997023,7,11,1997,Wentworth (Little Harbor)(BS),Little Harbor,"LANCE, AMERICAN SAND (SAND EEL)",2
1997023,7,11,1997,Wentworth (Little Harbor)(BS),Little Harbor,"CRAB, GREEN",3
1997023,7,11,1997,Wentworth (Little Harbor)(BS),Little Harbor,"CRAB, ROCK",1
1997024,7,11,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"HAKE, WHITE",2
1997024,7,11,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"CRAB, GREEN",11
1997024,7,11,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"CRAB, ROCK",1
1997024,7,11,1997,Fort Stark (Little Harbor)(BS),Little Harbor,LUMPFISH,1
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,"CRAB, GREEN",57
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,"CRAB, ROCK",4
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,LUMPFISH,17
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,"HAKE, WHITE",9
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,"FLOUNDER, WINTER (BLACKBACK)",6
1997025,7,11,1997,Odiorne Beach (BS),Little Harbor,GRUBBY,9
1997026,7,14,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",29
1997026,7,14,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",1
1997028,7,14,1997,Brown's River (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",10
1997029,7,14,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",11
1997029,7,14,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",1
1997030,7,24,1997,Fox Point (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",1
1997030,7,24,1997,Fox Point (BS),Little Bay/Great Bay,"SMELT, RAINBOW (MARINE)",228
1997030,7,24,1997,Fox Point (BS),Little Bay/Great Bay,"PIPEFISH, NORTHERN",1
1997031,8,7,1997,Schiller Plant (BS),Piscataqua River,"CRAB, GREEN",32
1997031,8,7,1997,Schiller Plant (BS),Piscataqua River,"SMELT, RAINBOW (MARINE)",2
1997031,8,7,1997,Schiller Plant (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",59
1997031,8,7,1997,Schiller Plant (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",1
1997031,8,7,1997,Schiller Plant (BS),Piscataqua River,"STICKLEBACK, NINESPINE",1
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"CRAB, GREEN",1
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",118
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"TOMCOD, ATLANTIC",1
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,MUMMICHOG (COMMON KILLIFISH) (MARINE),19
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"PERCH, WHITE (MARINE)",6
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"PIPEFISH, NORTHERN",2
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,"STICKLEBACK, FOURSPINE",1
1997032,8,7,1997,Upper Piscataqua (BS),Piscataqua River,ALEWIFE (MARINE),4
1997033,8,7,1997,General Sullivan Cove (BS),Piscataqua River,"CRAB, GREEN",20
1997033,8,7,1997,General Sullivan Cove (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",158
1997033,8,7,1997,General Sullivan Cove (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",14
1997033,8,7,1997,General Sullivan Cove (BS),Piscataqua River,GRUBBY,1
1997033,8,7,1997,General Sullivan Cove (BS),Piscataqua River,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",162
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",30
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"CRAB, GREEN",8
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"SMELT, RAINBOW (MARINE)",1
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",11
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",16
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,GRUBBY,1
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),1
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",2
1997034,8,7,1997,Oyster River (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",1
1997035,8,8,1997,Broad Cove (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",55
1997035,8,8,1997,Broad Cove (BS),Little Bay/Great Bay,"SMELT, RAINBOW (MARINE)",419
1997035,8,8,1997,Broad Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),3
1997035,8,8,1997,Broad Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",2675
1997036,8,8,1997,Moody Point(BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",68
1997036,8,8,1997,Moody Point(BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",54
1997036,8,8,1997,Moody Point(BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",1
1997036,8,8,1997,Moody Point(BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),14
1997036,8,8,1997,Moody Point(BS),Little Bay/Great Bay,"SHAD, AMERICAN (MARINE)",1
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",85
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",29
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, THREESPINE",79
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,ALEWIFE (MARINE),1
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",1
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"PIPEFISH, NORTHERN",2
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),78
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"PERCH, WHITE (MARINE)",2
1997037,8,8,1997,Herod's Cove (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",1
1997038,8,12,1997,Wentworth (Little Harbor)(BS),Little Harbor,"CRAB, GREEN",7
1997038,8,12,1997,Wentworth (Little Harbor)(BS),Little Harbor,"CRAB, ROCK",1
1997038,8,12,1997,Wentworth (Little Harbor)(BS),Little Harbor,"SILVERSIDE, ATLANTIC",1
1997038,8,12,1997,Wentworth (Little Harbor)(BS),Little Harbor,"FLOUNDER, WINTER (BLACKBACK)",4
1997038,8,12,1997,Wentworth (Little Harbor)(BS),Little Harbor,MUMMICHOG (COMMON KILLIFISH) (MARINE),20
1997039,8,12,1997,Fort Stark (Little Harbor)(BS),Little Harbor,"CRAB, GREEN",3
1997040,8,12,1997,Odiorne Beach (BS),Little Harbor,"SILVERSIDE, ATLANTIC",21
1997040,8,12,1997,Odiorne Beach (BS),Little Harbor,"CRAB, GREEN",8
1997040,8,12,1997,Odiorne Beach (BS),Little Harbor,"FLOUNDER, WINTER (BLACKBACK)",12
1997041,8,12,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",6
1997041,8,12,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",202
1997042,8,12,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",5
1997042,8,12,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"HERRING, BLUEBACK (MARINE)",10
1997042,8,12,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",6
1997042,8,12,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",10
1997043,8,12,1997,Blackwater River (BS),Hampton/Seabrook Estuary,FLOUNDER (UNCLASSIFIED),2
1997043,8,12,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",131
1997043,8,12,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",2
1997043,8,12,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",2
1997044,8,15,1997,Brown's River (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",34
1997045,8,26,1997,Fox Point (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",4
1997045,8,26,1997,Fox Point (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",2778
1997045,8,26,1997,Fox Point (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",1
1997045,8,26,1997,Fox Point (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),8
1997045,8,26,1997,Fox Point (BS),Little Bay/Great Bay,"CRAB, GREEN",4
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",967
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,"MENHADEN, ATLANTIC (POGY)",2
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,"FLOUNDER, SMOOTH",2
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),49
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,LUMPFISH,1
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,"KILLIFISH, STRIPED",3
1997046,9,10,1997,Broad Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",10
1997047,9,10,1997,Moody Point(BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),132
1997047,9,10,1997,Moody Point(BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",3
1997047,9,10,1997,Moody Point(BS),Little Bay/Great Bay,"PERCH, WHITE (MARINE)",2
1997047,9,10,1997,Moody Point(BS),Little Bay/Great Bay,"KILLIFISH, STRIPED",50
1997047,9,10,1997,Moody Point(BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",45
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"MENHADEN, ATLANTIC (POGY)",26
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",1
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",49
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, FOURSPINE",73
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"HERRING, BLUEBACK (MARINE)",1
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"STICKLEBACK, THREESPINE",21
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,GRUBBY,2
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"CRAB, GREEN",13
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"KILLIFISH, STRIPED",24
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,CUNNER,1
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"PIPEFISH, NORTHERN",1
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),117
1997048,9,10,1997,Herod's Cove (BS),Little Bay/Great Bay,"PERCH, WHITE (MARINE)",5
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,"SMELT, RAINBOW (MARINE)",1492
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,"HERRING, BLUEBACK (MARINE)",59
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",715
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,ALEWIFE (MARINE),9
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,CUNNER,2
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",2
1997049,9,11,1997,Schiller Plant (BS),Piscataqua River,"CRAB, GREEN",10
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",1141
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"HERRING, BLUEBACK (MARINE)",2
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"SMELT, RAINBOW (MARINE)",2
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,MUMMICHOG (COMMON KILLIFISH) (MARINE),153
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"TOMCOD, ATLANTIC",1
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"CRAB, GREEN",7
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"STICKLEBACK, FOURSPINE",8
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,ALEWIFE (MARINE),2
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"PERCH, WHITE (MARINE)",12
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,CUNNER,6
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",3
1997050,9,11,1997,Upper Piscataqua (BS),Piscataqua River,"STICKLEBACK, THREESPINE",2
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,"CRAB, GREEN",28
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,"HERRING, BLUEBACK (MARINE)",18
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,"SILVERSIDE, ATLANTIC",1704
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,"FLOUNDER, WINTER (BLACKBACK)",12
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,"SMELT, RAINBOW (MARINE)",18
1997051,9,12,1997,General Sullivan Cove (BS),Piscataqua River,GRUBBY,2
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),142
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,GRUBBY,3
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,"FLOUNDER, WINTER (BLACKBACK)",1
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",741
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,"STICKLEBACK, NINESPINE",659
1997052,9,22,1997,Oyster River (BS),Little Bay/Great Bay,"CRAB, HORSESHOE",2
1997053,9,22,1997,Fox Point (BS),Little Bay/Great Bay,"CRAB, GREEN",3
1997053,9,22,1997,Fox Point (BS),Little Bay/Great Bay,"SILVERSIDE, ATLANTIC",89
1997053,9,22,1997,Fox Point (BS),Little Bay/Great Bay,LUMPFISH,1
1997053,9,22,1997,Fox Point (BS),Little Bay/Great Bay,MUMMICHOG (COMMON KILLIFISH) (MARINE),6
1997054,9,23,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",5
1997054,9,23,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",127
1997054,9,23,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",10
1997054,9,23,1997,Smith & Gilmore (BS),Hampton/Seabrook Estuary,"SMELT, RAINBOW (MARINE)",1
1997055,9,23,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"CRAB, GREEN",2
1997055,9,23,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"CRAB, ROCK",1
1997055,9,23,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",718
1997055,9,23,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"FLOUNDER, WINTER (BLACKBACK)",3
1997055,9,23,1997,Yankee Coop (BS),Hampton/Seabrook Estuary,"HERRING, BLUEBACK (MARINE)",6
1997056,9,23,1997,Blackwater River (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",2
1997057,9,23,1997,Brown's River (BS),Hampton/Seabrook Estuary,"SILVERSIDE, ATLANTIC",153
1997057,9,23,1997,Brown's River (BS),Hampton/Seabrook Estuary,"STICKLEBACK, NINESPINE",1
1997057,9,23,1997,Brown's River (BS),Hampton/Seabrook Estuary,HERRING (UNCLASSIFIED) (MARINE),1
