Observation type,Year,Date,Month,Week of Year,Day of Year,Watch ID,IncludeForRegression,Watch duration (mm:ss),Watch duration (min),Number of nests observed,Event time,"Event (Feeding = chick successful consumed food; adult feeding = adult successfully consumed food; failed feeding = chick failed to consume food, ? Indicates best guess with uncertainty)",NestID,Unique nest ID,Received By,Unique chick ID,Prey item (? Indicates best guess with uncertainty),Prey Family,Prey size (bill lengths),Prey size (mm; based on 36.5 mm average culmen length),Observer,Notes,Exclude watch from feeding rate calculation,Handling time (seconds),Time Arrived,Time Departed,Provided By
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:15,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,10:15,10:19,Parent
blind,1999,6/26/99,Jun,26,177,1999_048,,,,,10:20,end,,,,,,,,,DT,,,,,,
blind,1999,6/26/99,Jun,26,177,1999_001,,240:00,240,4,13:30,start,2/5/6/7,,,,,,,,DH,,,,,,
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,13:54,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,13:54,13:54,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,13:56,Feeding,7,1999.7,Unknown chick,,hake,hake,1,36.5,DH,,,,13:56,>5 Min,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,13:58,Feeding,2,1999.2,A,1999.2.A,hake,hake,2.5,91.25,DH,,,,13:58,Mate Switch,Known Female
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:00,Feeding,5,1999.5,Unknown chick,,hake,hake,1.25,45.625,DH,,,,14:00,14:00,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:03,Feeding,5,1999.5,Unknown chick,,hake,hake,0.75,27.375,DH,,,,14:03,14:03,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:09,Feeding,5,1999.5,Unknown chick,,hake,hake,0.75,27.375,DH,,,,14:09,Mate Switch,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:18,Feeding,6,1999.6,A,1999.6.A,hake,hake,0.75,27.375,DH,,,,14:18,14:18,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:20,Feeding,6,1999.6,A,1999.6.A,hake,hake,0.75,27.375,DH,,,,14:20,14:20,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:23,Feeding,2,1999.2,Self,,hake,hake,1.25,45.625,DH,,,,14:23,Mate Switch,Self
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:29,Feeding,6,1999.6,Self,,hake,hake,1,36.5,DH,,,,14:29,>5 Min,Self
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:41,Feeding,7,1999.7,Unknown chick,,hake,hake,0.75,27.375,DH,,,,14:41,Mate Switch,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:50,Feeding,6,1999.6,A,1999.6.A,hake,hake,0.75,27.375,DH,,,,14:50,14:50,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:54,Feeding,6,1999.6,A,1999.6.A,hake,hake,0.75,27.375,DH,,,,14:54,14:54,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:56,Feeding,5,1999.5,Unknown chick,,herring,herring,1.25,45.625,DH,,,,14:56,14:56,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,14:58,Feeding,6,1999.6,Known Female,,hake,hake,1.25,45.625,DH,,,,14:58,14:58,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:03,Feeding,2,1999.2,Known Female,,hake,hake,1.25,45.625,DH,,,,15:03,15:03,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:05,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,15:05,15:05,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:06,Feeding,6,1999.6,A,1999.6.A,hake,hake,1,36.5,DH,,,,15:06,15:06,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:06,Feeding,2,1999.2,Self,,hake,hake,1.25,45.625,DH,,,,15:06,15:09,Self
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:10,Feeding,7,1999.7,Unknown chick,,hake,hake,1,36.5,DH,,,,15:10,15:13,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:10,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,15:10,15:10,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:11,Feeding,5,1999.5,Unknown chick,,grasshopper,invertebrate ,1.25,45.625,DH,,,,15:11,Mate Switch,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:14,Feeding,6,1999.6,Known Female,,hake,hake,1.25,45.625,DH,,,,15:14,15:14,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:15,Failed feeding,7,1999.7,Unknown Adult,,unknown,unknown,,,DH,Unwanted,,,15:15,Mate Switch,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:16,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,15:16,15:16,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:21,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,15:21,15:21,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:36,Feeding,5,1999.5,Unknown chick,,hake,hake,1.5,54.75,DH,,,,15:36,Mate Switch,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:48,Feeding,5,1999.5,B,1999.5.B,hake,hake,1.25,45.625,DH,,,,15:48,15:48,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:50,Feeding,5,1999.5,C,1999.5.C,hake,hake,1,36.5,DH,,,,15:50,15:51,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:53,Feeding,6,1999.6,A,1999.6.A,hake,hake,1.25,45.625,DH,,,,15:53,Mate Switch,Ub
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,15:55,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,15:55,15:55,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:00,Feeding,5,1999.5,Unknown chick,,hake,hake,1.25,45.625,DH,,,,16:00,>5 Min,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:08,Feeding,7,1999.7,Unknown chick,,hake,hake,1,36.5,DH,,,,16:08,16:09,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:12,Feeding,5,1999.5,Unknown chick,,herring,herring,2,73,DH,,,,16:12,16:12,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:14,Feeding,5,1999.5,Unknown chick,,hake,hake,1.5,54.75,DH,,,,16:14,16:14,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:15,Feeding,2,1999.2,A,1999.2.A,unknown fish,unknown fish,,,DH,,,,16:15,16:15,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:18,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,16:18,16:18,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:28,Feeding,2,1999.2,A,1999.2.A,herring,herring,1.5,54.75,DH,,,,16:28,16:28,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:31,Feeding,7,1999.7,Unknown chick,,hake,hake,1,36.5,DH,,,,16:31,16:31,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:47,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,16:47,16:47,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:54,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DH,,,,16:54,16:55,Known Male
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:54,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,16:54,16:54,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,16:57,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,16:57,16:57,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,17:06,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,1.25,45.625,DH,,,,17:06,17:06,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,17:26,Feeding,5,1999.5,Unknown chick,,hake,hake,1.5,54.75,DH,,,,17:26,>5 Min,Unknown Adult
blind,1999,6/26/99,Jun,26,177,1999_001,,,,,17:30,end,,,,,,,,,DH,,,,,,
blind,1999,6/27/99,Jun,27,178,1999_002,,150:00,150,4,9:55,start,2/5/6/7,,,,,,,,DH,,,,,,
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:01,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DH,,,,10:01,10:01,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:05,Feeding,6,1999.6,A,1999.6.A,hake,hake,1,36.5,DH,,,,10:05,Mate Switch,Ub
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:05,Feeding,2,1999.2,A,1999.2.A,hake,hake,1.5,54.75,DH,,,,10:05,10:05,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:06,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DH,,,,10:06,10:06,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:06,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,10:06,10:06,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:08,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,0.75,27.375,DH,Unwanted,,,10:08,10:10,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:10,Feeding,2,1999.2,A,1999.2.A,hake,hake,2,73,DH,,,,10:10,Mate Switch,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:14,Feeding,6,1999.6,Known Female,,hake,hake,1.25,45.625,DH,,,,10:14,10:14,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:19,Feeding,7,1999.7,Unknown chick,,unknown fish,unknown fish,,,DH,,,,10:19,10:22,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:23,Feeding,5,1999.5,Unknown chick,,unknown,unknown,,,DH,,,,10:23,Mate Switch,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:39,Feeding,6,1999.6,Unknown chick,,hake,hake,1,36.5,DH,,,,10:39,10:41,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:47,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,10:47,Mate Switch,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,10:48,Feeding,2,1999.2,Self,,hake,hake,1.25,45.625,DH,,,,10:48,Mate Switch,Known Female
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:02,Feeding,5,1999.5,Unknown chick,,hake,hake,1,36.5,DH,,,,11:02,Mate Switch,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:18,Feeding,7,1999.7,Unknown chick,,unknown,unknown,,,DH,,,,11:18,>5 Min,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:31,Feeding,2,1999.2,Self,,hake,hake,1,36.5,DH,,,,11:31,>5 Min,Known Male
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:31,Feeding,7,1999.7,Unknown chick,,hake,hake,1,36.5,DH,,,,11:31,Mate Switch,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:40,Feeding,5,1999.5,Unknown chick,,unknown fish,unknown fish,,,DH,,,,11:40,>5 Min,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:40,Feeding,7,1999.7,Unknown chick,,unknown,unknown,,,DH,,,,11:40,11:41,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,11:48,Feeding,7,1999.7,Unknown chick,,hake,hake,0.75,27.375,DH,,,,11:48,Mate Switch,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,12:09,Feeding,7,1999.7,Unknown chick,,unknown fish,unknown fish,,,DH,,,,12:09,>5 Min,Unknown Adult
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,12:11,Feeding,6,1999.6,B,1999.6.B,hake,hake,1,36.5,DH,,,,12:11,Mate Switch,Ub
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,12:21,Feeding,6,1999.6,A,1999.6.A,hake,hake,1,36.5,DH,,,,12:21,12:21,Ub
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,12:24,Feeding,6,1999.6,A,1999.6.A,hake,hake,1,36.5,DH,,,,12:24,12:24,Ub
blind,1999,6/27/99,Jun,27,178,1999_002,,,,,12:25,end,,,,,,,,,DH,,,,,,
blind,1999,6/27/99,Jun,27,178,1999_049,,133:00,133,4,14:25,start,7/2/6/5,,,,,,,,DT,,,,,,
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,14:43,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,14:43,14:48,Known Male
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,14:47,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,14:47,14:47,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,14:48,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,14:48,>5 Min,Known Female
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,14:51,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,14:51,14:51,Known Male
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,14:56,Failed feeding,7,1999.7,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,14:56,14:57,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:00,Failed feeding,7,1999.7,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,15:00,15:02,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:03,Failed feeding,5,1999.5,Unknown Adult,,pollock,pollock,2,73,DT,Unwanted,,,15:03,15:04,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:04,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,15:04,15:04,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:05,Feeding,7,1999.7,A,1999.7.A,hake,hake,0.75,27.375,DT,,,,15:05,15:05,Known Male
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:10,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,15:10,15:10,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:14,Failed feeding,7,1999.7,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,15:14,15:15,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:21,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,15:21,15:22,Known Male
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:21,Failed feeding,7,1999.7,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,15:21,15:21,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:24,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,15:24,15:24,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:51,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,1.5,54.75,DT,Unwanted,,,15:51,15:52,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:54,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,15:54,15:56,Known Male
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,15:57,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,15:57,15:57,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,16:37,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,16:37,16:37,Parent
blind,1999,6/27/99,Jun,27,178,1999_049,,,,,16:38,end,,,,,,,,,DT,,,,,,
blind,1999,6/28/99,Jun,27,179,1999_050,,120:00,120,4,8:00,start,7/2/6/5,,,,,,,,DT,,,,,,
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:01,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,8:01,8:02,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:08,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DT,,,,8:08,8:08,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:10,Failed feeding,7,1999.7,Unknown Adult,,unknown fish,unknown fish,,,DT,Unwanted,,,8:10,8:10,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:13,Feeding,2,1999.2,A,1999.2.A,hake,hake,0.75,27.375,DT,,,,8:13,8:13,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:27,Failed feeding,5,1999.5,Unknown Adult,,unknown fish,unknown fish,2,73,DT,Unwanted,,,8:27,8:27,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:28,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,8:28,8:28,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:29,Failed feeding,7,1999.7,Unknown Adult,,unknown fish,unknown fish,1.25,45.625,DT,Unwanted,,,8:29,8:30,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:32,Failed feeding,5,1999.5,Unknown Adult,,unknown fish,unknown fish,1.25,45.625,DT,Unwanted,,,8:32,8:32,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:36,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1.25,45.625,DT,Unwanted,,,8:36,8:36,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:43,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1.25,45.625,DT,Unwanted,,,8:43,8:43,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:45,Feeding,2,1999.2,A,1999.2.A,unknown fish,unknown fish,0.75,27.375,DT,,,,8:45,8:45,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:46,Feeding,2,1999.2,A,1999.2.A,hake,hake,1.25,45.625,DT,,,,8:46,8:46,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,8:48,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,8:48,8:48,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:02,Feeding,2,1999.2,A,1999.2.A,unknown,unknown,0.75,27.375,DT,,,,9:02,9:02,Known Male
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:03,Failed feeding,7,1999.7,Unknown Adult,,hake,hake,0.75,27.375,DT,Unwanted,,,9:03,9:04,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:08,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,9:08,9:08,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:27,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1,36.5,DT,Unwanted,,,9:27,9:27,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:28,Failed feeding,5,1999.5,Unknown Adult,,unknown fish,unknown fish,,,DT,Unwanted,,,9:28,9:28,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:35,Failed feeding,6,1999.6,Unknown Adult,,unknown fish,unknown fish,,,DT,Unwanted,,,9:35,9:35,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:36,Failed feeding,5,1999.5,Unknown Adult,,hake,hake,1.25,45.625,DT,Unwanted,,,9:36,9:36,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,9:38,Failed feeding,6,1999.6,Unknown Adult,,hake,hake,1.25,45.625,DT,Unwanted,,,9:38,9:39,Parent
blind,1999,6/28/99,Jun,27,179,1999_050,,,,,10:00,end,,,,,,,,,DT,,,,,,
blind,1999,6/28/99,Jun,27,179,1999_003,,120:00,120,4,14:35,start,2/5/6/7,,,,,,,,DH,,,,,,
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,14:41,Feeding,2,1999.2,A,1999.2.A,unknown fish,unknown fish,,,DH,,,,14:41,14:42,Known Male
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,14:49,Feeding,6,1999.6,Unknown chick,,hake,hake,1,36.5,DH,,,,14:49,14:49,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,14:55,Feeding,7,1999.7,Unknown chick,,unknown fish,unknown fish,,,DH,,,,14:55,14:55,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:00,Feeding,2,1999.2,A,1999.2.A,hake,hake,1,36.5,DH,,,,15:00,15:01,Known Male
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:01,Feeding,5,1999.5,B,1999.5.B,hake,hake,1.5,54.75,DH,,,,15:01,15:01,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:02,Feeding,6,1999.6,B,1999.6.B,hake,hake,1,36.5,DH,,,,15:02,15:05,Ub
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:10,Feeding,2,1999.2,A,1999.2.A,unknown,unknown,,,DH,,,,15:10,15:10,Known Male
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:10,Feeding,6,1999.6,Unknown chick,,unknown,unknown,0.5,18.25,DH,,,,15:10,15:10,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:11,Feeding,5,1999.5,Unknown chick,,unknown,unknown,,,DH,,,,15:11,>5 Min,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:19,Feeding,6,1999.6,A,1999.6.A,unknown fish,unknown fish,1.5,54.75,DH,,,,15:19,15:19,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:28,Feeding,6,1999.6,B,1999.6.B,hake,hake,1,36.5,DH,,,,15:28,15:28,Known Male
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:28,Feeding,7,1999.7,Unknown chick,,hake,hake,0.75,27.375,DH,,,,15:28,15:29,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:29,Feeding,2,1999.2,A,1999.2.A,hake,hake,1.75,63.875,DH,,,,15:29,15:29,Known Male
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:34,Feeding,5,1999.5,B,1999.5.B,hake,hake,1.25,45.625,DH,,,,15:34,15:34,Parent
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:34,Feeding,5,1999.5,C,1999.5.C,hake,hake,1.25,45.625,DH,,,,15:34,15:35,Parent
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:38,Feeding,6,1999.6,Unknown chick,,unknown fish,unknown fish,1.25,45.625,DH,,,,15:38,15:38,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:42,Feeding,5,1999.5,A,1999.5.A,hake,hake,1.25,45.625,DH,,,,15:42,15:42,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:47,Feeding,5,1999.5,C,1999.5.C,hake,hake,1,36.5,DH,,,,15:47,15:47,Unknown Adult
blind,1999,6/28/99,Jun,27,179,1999_003,,,,,15:48,Feeding,7,1999.7,Unknown chick,,unknown,unknown,,,DH,,,,15:48,15:49,Unknown Adult
